Entry	Status	Gene ontology (biological process)
Q24159	unreviewed	germarium-derived egg chamber formation [GO:0007293]; mitotic cell cycle [GO:0000278]; mitotic cell cycle, embryonic [GO:0045448]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell proliferation [GO:0008284]; protein phosphorylation [GO:0006468]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of gene silencing by RNA [GO:0060966]; regulation of mitotic nuclear division [GO:0007088]
Q7JZB4	reviewed	GDP-mannose biosynthetic process [GO:0009298]; larval lymph gland hemopoiesis [GO:0035167]
Q7KT57	unreviewed	dorsal appendage formation [GO:0046843]; gene silencing by RNA [GO:0031047]; oogenesis [GO:0048477]
Q8INB9	reviewed	apoptotic process [GO:0006915]; cellular response to insulin stimulus [GO:0032869]; chitin-based embryonic cuticle biosynthetic process [GO:0008362]; cholesterol homeostasis [GO:0042632]; circadian rhythm [GO:0007623]; dendrite regeneration [GO:0031104]; epithelial cell migration, open tracheal system [GO:0007427]; insulin receptor signaling pathway [GO:0008286]; intracellular signal transduction [GO:0035556]; lipid metabolic process [GO:0006629]; long-term synaptic depression [GO:0060292]; multicellular organism growth [GO:0035264]; myoblast fusion [GO:0007520]; negative regulation of apoptotic process [GO:0043066]; negative regulation of neuron death [GO:1901215]; negative regulation of peptide hormone secretion [GO:0090278]; negative regulation of synaptic growth at neuromuscular junction [GO:0045886]; negative regulation of TORC1 signaling [GO:1904262]; negative regulation of triglyceride catabolic process [GO:0010897]; oogenesis [GO:0048477]; open tracheal system development [GO:0007424]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of axon regeneration [GO:0048680]; positive regulation of cell growth [GO:0030307]; positive regulation of cell proliferation [GO:0008284]; positive regulation of cell size [GO:0045793]; positive regulation of lipid storage [GO:0010884]; positive regulation of organ growth [GO:0046622]; positive regulation of TORC1 signaling [GO:1904263]; protein phosphorylation [GO:0006468]; regulation of dendrite development [GO:0050773]; regulation of hemocyte proliferation [GO:0035206]; regulation of multicellular organism growth [GO:0040014]; response to oxidative stress [GO:0006979]; somatic muscle development [GO:0007525]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]
Q95TJ9	reviewed	cell division [GO:0051301]; double-strand break repair [GO:0006302]; epithelium development [GO:0060429]; female meiotic nuclear division [GO:0007143]; meiotic DNA repair synthesis [GO:0000711]; mitotic cell cycle [GO:0000278]; multicellular organism development [GO:0007275]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell proliferation [GO:0008284]; positive regulation of growth [GO:0045927]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein phosphorylation [GO:0006468]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of mitotic nuclear division [GO:0007088]; regulation of Notch signaling pathway [GO:0008593]
Q961D1	unreviewed	positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901409]; positive regulation of transcription by RNA polymerase II [GO:0045944]
Q9I7I7	reviewed	determination of adult lifespan [GO:0008340]; histone deacetylation [GO:0016575]; histone H3 deacetylation [GO:0070932]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell proliferation [GO:0008285]; negative regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061428]; protein deacetylation [GO:0006476]
Q9VEH1	unreviewed	achiasmate meiosis I [GO:0000705]; chromosome separation [GO:0051304]; distributive segregation [GO:0032837]; female meiosis chromosome segregation [GO:0016321]; female meiotic nuclear division [GO:0007143]; meiotic cell cycle [GO:0051321]; meiotic metaphase I plate congression [GO:0043060]; meiotic spindle assembly checkpoint [GO:0033316]; meiotic spindle checkpoint [GO:0044779]; mitotic spindle assembly checkpoint [GO:0007094]; negative regulation of sister chromatid segregation [GO:0033046]; protein phosphorylation [GO:0006468]; response to hypoxia [GO:0001666]
Q9VHN1	unreviewed	cell division [GO:0051301]; endomitotic cell cycle [GO:0007113]; mitotic cell cycle [GO:0000278]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; regulation of mitotic cell cycle [GO:0007346]
Q9VKW2	unreviewed	compound eye development [GO:0048749]; germ-line stem cell division [GO:0042078]; intestinal stem cell homeostasis [GO:0036335]; somatic stem cell population maintenance [GO:0035019]
Q9VLW7	unreviewed	cell division [GO:0051301]; mitotic cell cycle arrest [GO:0071850]; mitotic spindle midzone assembly [GO:0051256]; peptidyl-tyrosine dephosphorylation [GO:0035335]; protein dephosphorylation [GO:0006470]; regulation of exit from mitosis [GO:0007096]
Q9VNM2	unreviewed	
Q9VTU3	reviewed	imaginal disc-derived leg morphogenesis [GO:0007480]; negative regulation of endocytic recycling [GO:2001136]; negative regulation of stress fiber assembly [GO:0051497]; positive regulation of synaptic growth at neuromuscular junction [GO:0045887]; Rho protein signal transduction [GO:0007266]; ventral furrow formation [GO:0007370]
Q9VVE3	unreviewed	steroid biosynthetic process [GO:0006694]
Q9W321	unreviewed	circadian regulation of gene expression [GO:0032922]; compound eye development [GO:0048749]; compound eye morphogenesis [GO:0001745]; DNA replication checkpoint [GO:0000076]; glial cell migration [GO:0008347]; hemopoiesis [GO:0030097]; histone acetylation [GO:0016573]; histone H3-K18 acetylation [GO:0043971]; histone H3-K27 acetylation [GO:0043974]; histone H3-K4 methylation [GO:0051568]; histone H4-K12 acetylation [GO:0043983]; histone H4-K8 acetylation [GO:0043982]; locomotor rhythm [GO:0045475]; neurotransmitter secretion [GO:0007269]; ovarian follicle cell development [GO:0030707]; positive regulation of transcription by RNA polymerase II [GO:0045944]; R3/R4 cell fate commitment [GO:0007464]; R7 cell differentiation [GO:0045466]; regulation of mitotic nuclear division [GO:0007088]; smoothened signaling pathway [GO:0007224]; synapse assembly [GO:0007416]; thermosensory behavior [GO:0040040]; Wnt signaling pathway [GO:0016055]
V5LWW0	unreviewed	multicellular organism development [GO:0007275]
A0A0B4K7I7	unreviewed	
Q9VWX7	unreviewed	regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]
Q9VY14	unreviewed	
A0A0B4K7J3	unreviewed	actin filament organization [GO:0007015]; activin receptor signaling pathway [GO:0032924]; anterior/posterior pattern specification, imaginal disc [GO:0007448]; BMP signaling pathway [GO:0030509]; chorion-containing eggshell formation [GO:0007304]; compound eye morphogenesis [GO:0001745]; decapentaplegic signaling pathway [GO:0008101]; defense response to Gram-negative bacterium [GO:0050829]; dorsal/ventral pattern formation [GO:0009953]; germ-line stem cell division [GO:0042078]; germ-line stem cell population maintenance [GO:0030718]; imaginal disc-derived wing morphogenesis [GO:0007476]; maternal determination of anterior/posterior axis, embryo [GO:0008358]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of innate immune response [GO:0045824]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; oogenesis [GO:0048477]; ovarian follicle cell development [GO:0030707]; ovarian nurse cell to oocyte transport [GO:0007300]; pattern specification process [GO:0007389]; positive regulation of synaptic growth at neuromuscular junction [GO:0045887]; protein phosphorylation [GO:0006468]; transforming growth factor beta receptor signaling pathway [GO:0007179]; wing disc pattern formation [GO:0035222]
B5RIQ1	unreviewed	actin nucleation [GO:0045010]; vesicle-mediated transport [GO:0016192]
Q8INC3	unreviewed	
Q9U1K1	reviewed	actin cytoskeleton organization [GO:0030036]; actin filament-based process [GO:0030029]; actin filament network formation [GO:0051639]; actin filament organization [GO:0007015]; actin nucleation [GO:0045010]; chorion-containing eggshell formation [GO:0007304]; oocyte karyosome formation [GO:0030717]; oogenesis [GO:0048477]; pole plasm assembly [GO:0007315]; pole plasm oskar mRNA localization [GO:0045451]; pole plasm RNA localization [GO:0007316]; protein transport [GO:0015031]; regulation of cytoskeleton organization [GO:0051493]; vesicle-mediated transport [GO:0016192]
A0A0B4K7J4	unreviewed	nervous system development [GO:0007399]
Q7JY89	unreviewed	
Q9V8W3	reviewed	cell cycle [GO:0007049]; intracellular protein transport [GO:0006886]; neurotransmitter secretion [GO:0007269]; protein geranylgeranylation [GO:0018344]; small GTPase mediated signal transduction [GO:0007264]; vesicle-mediated transport [GO:0016192]
Q9VZR0	unreviewed	nicotinamide nucleotide biosynthetic process [GO:0019359]; nicotinamide riboside metabolic process [GO:0046495]
Q9W3X6	unreviewed	fumarate metabolic process [GO:0006106]; tricarboxylic acid cycle [GO:0006099]
A0A0B4K7N1	unreviewed	motor neuron axon guidance [GO:0008045]
O46085	unreviewed	peroxisome organization [GO:0007031]; protein import into peroxisome matrix, docking [GO:0016560]; response to anesthetic [GO:0072347]
Q94519	reviewed	fatty acid biosynthetic process [GO:0006633]; lipid A biosynthetic process [GO:0009245]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]
A0A0B4K7S6	unreviewed	determination of adult lifespan [GO:0008340]; ecdysone biosynthetic process [GO:0006697]; long-term memory [GO:0007616]; positive regulation of circadian sleep/wake cycle, sleep [GO:0045938]
P18459	reviewed	adult chitin-containing cuticle pigmentation [GO:0048085]; adult locomotory behavior [GO:0008344]; aromatic amino acid family metabolic process [GO:0009072]; catecholamine metabolic process [GO:0006584]; courtship behavior [GO:0007619]; cuticle pigmentation [GO:0048067]; developmental pigmentation [GO:0048066]; dopamine biosynthetic process [GO:0042416]; dopamine metabolic process [GO:0042417]; male courtship behavior [GO:0008049]; neurotransmitter biosynthetic process [GO:0042136]; regulation of adult chitin-containing cuticle pigmentation [GO:0048082]; regulation of epithelial cell migration, open tracheal system [GO:2000274]; response to wounding [GO:0009611]; thermosensory behavior [GO:0040040]; thermotaxis [GO:0043052]; wing disc development [GO:0035220]
Q9W279	unreviewed	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of proteolysis [GO:0030162]; ubiquitin-dependent protein catabolic process [GO:0006511]
A0A0B4K852	unreviewed	adult feeding behavior [GO:0008343]; axon guidance [GO:0007411]; determination of adult lifespan [GO:0008340]; mRNA processing [GO:0006397]
A0A0B4LGD0	unreviewed	
Q8INQ9	unreviewed	apposition of dorsal and ventral imaginal disc-derived wing surfaces [GO:0007475]; dorsal closure [GO:0007391]; embryonic pattern specification [GO:0009880]; head involution [GO:0008258]; negative regulation of JNK cascade [GO:0046329]
Q8WS79	unreviewed	carbohydrate metabolic process [GO:0005975]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]; transcription, DNA-templated [GO:0006351]
Q9V3B8	unreviewed	axon guidance [GO:0007411]; positive regulation of neuron differentiation [GO:0045666]
Q9VAI3	unreviewed	
Q9VWN9	unreviewed	regulation of axon guidance [GO:1902667]
Q9VZ60	unreviewed	
A0A0B4KEZ3	unreviewed	
O16797	reviewed	cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]
P08570	reviewed	cytoplasmic translation [GO:0002181]; translational elongation [GO:0006414]
Q02748	reviewed	female germ-line stem cell asymmetric division [GO:0048132]; germ-line stem cell population maintenance [GO:0030718]; imaginal disc growth [GO:0007446]; instar larval development [GO:0002168]; mitotic cell cycle [GO:0000278]; oogenesis [GO:0048477]; pole cell formation [GO:0007279]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; translational initiation [GO:0006413]
Q26263	reviewed	adult locomotory behavior [GO:0008344]; cell differentiation [GO:0030154]; dosage compensation [GO:0007549]; larval locomotory behavior [GO:0008345]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuroblast development [GO:0014019]; Notch signaling pathway [GO:0007219]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of neuroblast proliferation [GO:0002052]; regulation of neuroblast proliferation [GO:1902692]; regulation of neurogenesis [GO:0050767]; sex determination [GO:0007530]; sex determination, establishment of X:A ratio [GO:0007540]; somitogenesis [GO:0001756]
Q8IQG1	reviewed	cell morphogenesis [GO:0000902]; long-term memory [GO:0007616]; negative regulation of synaptic growth at neuromuscular junction [GO:0045886]; rhabdomere development [GO:0042052]
Q9VKX2	unreviewed	carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; NADH metabolic process [GO:0006734]; oxaloacetate metabolic process [GO:0006107]; oxidation-reduction process [GO:0055114]; tricarboxylic acid cycle [GO:0006099]
Q9VNS4	unreviewed	
Q9VUH9	unreviewed	posttranscriptional gene silencing by RNA [GO:0035194]
Q9VWQ2	reviewed	intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]
Q9VYA4	unreviewed	
Q9W1K5	reviewed	autophagy of mitochondrion [GO:0000422]; cellular response to amino acid stimulus [GO:0071230]; cellular response to leucine [GO:0071233]; cellular response to leucine starvation [GO:1990253]; multicellular organism aging [GO:0010259]; negative regulation of cell growth [GO:0030308]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of macroautophagy [GO:0016239]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of response to reactive oxygen species [GO:1901031]
A0A0B4KGY6	unreviewed	positive regulation of RNA splicing [GO:0033120]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]
A4IJ59	unreviewed	thermosensory behavior [GO:0040040]
P33244	reviewed	cell death [GO:0008219]; dendrite morphogenesis [GO:0048813]; hormone-mediated signaling pathway [GO:0009755]; imaginal disc-derived leg morphogenesis [GO:0007480]; instar larval or pupal development [GO:0002165]; juvenile hormone mediated signaling pathway [GO:0035626]; lipid homeostasis [GO:0055088]; metamorphosis [GO:0007552]; mushroom body development [GO:0016319]; neuron remodeling [GO:0016322]; positive regulation of transcription by RNA polymerase II [GO:0045944]; pupariation [GO:0035073]; pupation [GO:0035074]; regulation of development, heterochronic [GO:0040034]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; response to ecdysone [GO:0035075]; response to hormone [GO:0009725]; tissue development [GO:0009888]
Q24491	reviewed	mRNA cis splicing, via spliceosome [GO:0045292]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of gene expression [GO:0010468]; regulation of mRNA 3'-end processing [GO:0031440]; regulation of transcriptional start site selection at RNA polymerase II promoter [GO:0001178]
Q7KHL0	unreviewed	appendage morphogenesis [GO:0035107]; cell fate commitment [GO:0045165]; cell proliferation [GO:0008283]; imaginal disc growth [GO:0007446]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]
Q9VJ53	unreviewed	
A0A0B4KHH8	unreviewed	dorsal appendage formation [GO:0046843]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of synaptic growth at neuromuscular junction [GO:0045886]; oocyte dorsal/ventral axis specification [GO:0007310]; regulation of neuromuscular synaptic transmission [GO:1900073]; regulation of oskar mRNA translation [GO:0046011]
A8JNS0	unreviewed	proteolysis [GO:0006508]
A0A0B4KI23	unreviewed	chitin-based cuticle development [GO:0040003]
Q95RB2	unreviewed	chitin-based cuticle development [GO:0040003]
A1Z6J6	unreviewed	
A1Z8W1	unreviewed	
A8DYE4	unreviewed	intracellular signal transduction [GO:0035556]; positive regulation of cell size [GO:0045793]
A8DZ19	unreviewed	positive regulation of GTPase activity [GO:0043547]; positive regulation of hippo signaling [GO:0035332]; regulation of organ growth [GO:0046620]; regulation of Rho protein signal transduction [GO:0035023]; regulation of synapse organization [GO:0050807]
A8JNL9	unreviewed	regulation of transcription, DNA-templated [GO:0006355]
A8JR00	unreviewed	
B7Z028	unreviewed	fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; lipid homeostasis [GO:0055088]
Q9VR35	reviewed	female germ-line stem cell population maintenance [GO:0036099]; positive regulation of translation [GO:0045727]; regulation of formation of translation initiation ternary complex [GO:1901190]
M9ND89	unreviewed	actin cytoskeleton reorganization [GO:0031532]; actomyosin contractile ring assembly [GO:0000915]; endocytic recycling [GO:0032456]; microtubule-based process [GO:0007017]; sensory organ precursor cell fate determination [GO:0016360]; wing disc dorsal/ventral pattern formation [GO:0048190]
O46106	reviewed	fertilization [GO:0009566]; mitotic cell cycle [GO:0000278]; mRNA splicing, via spliceosome [GO:0000398]
P15330	reviewed	anterior/posterior pattern specification [GO:0009952]; defense response [GO:0006952]; dorsal/ventral axis specification [GO:0009950]; dorsal/ventral pattern formation [GO:0009953]; ectodermal cell fate specification [GO:0001715]; ectoderm development [GO:0007398]; gastrulation involving germ band extension [GO:0010004]; germ cell migration [GO:0008354]; heart development [GO:0007507]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; immune response [GO:0006955]; inflammatory response [GO:0006954]; melanization defense response [GO:0035006]; mesodermal cell fate specification [GO:0007501]; mesoderm development [GO:0007498]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; NIK/NF-kappaB signaling [GO:0038061]; peripheral nervous system neuron development [GO:0048935]; plasmatocyte differentiation [GO:0042387]; positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria [GO:0006964]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of hemocyte proliferation [GO:0035206]; regulation of transcription, DNA-templated [GO:0006355]; response to cytokine [GO:0034097]; Toll signaling pathway [GO:0008063]; ventral cord development [GO:0007419]
P17886	reviewed	axon ensheathment [GO:0008366]; glial cell migration [GO:0008347]; Malpighian tubule morphogenesis [GO:0007443]; mRNA splicing, via spliceosome [GO:0000398]; oenocyte development [GO:0007438]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; spliceosomal complex assembly [GO:0000245]
P35415	reviewed	mesoderm development [GO:0007498]; myofibril assembly [GO:0030239]
P54361	reviewed	multicellular organism development [GO:0007275]; positive regulation of protein catabolic process [GO:0045732]
Q0E993	unreviewed	valyl-tRNA aminoacylation [GO:0006438]
Q24312	reviewed	adult somatic muscle development [GO:0007527]; central nervous system development [GO:0007417]; imaginal disc morphogenesis [GO:0007560]; muscle organ development [GO:0007517]; negative regulation of synaptic growth at neuromuscular junction [GO:0045886]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; regulation of transcription by RNA polymerase II [GO:0006357]
Q24558	reviewed	DNA recombination [GO:0006310]; meiotic DNA double-strand break processing [GO:0000706]; mismatch repair [GO:0006298]
Q24564	reviewed	axis specification [GO:0009798]; cell-cell signaling [GO:0007267]; compound eye morphogenesis [GO:0001745]; compound eye photoreceptor cell differentiation [GO:0001751]; decapentaplegic signaling pathway [GO:0008101]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; male meiosis cytokinesis [GO:0007112]; meiotic chromosome separation [GO:0051307]; negative regulation of cell proliferation [GO:0008285]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of organ growth [GO:0046621]; pole plasm mRNA localization [GO:0019094]; positive regulation of apoptotic process [GO:0043065]; positive regulation of hippo signaling [GO:0035332]; positive regulation of protein phosphorylation [GO:0001934]; protein localization to plasma membrane [GO:0072659]; regulation of cell differentiation [GO:0045595]; regulation of cell growth [GO:0001558]; regulation of cell proliferation [GO:0042127]; regulation of compound eye retinal cell programmed cell death [GO:0046669]; regulation of signal transduction [GO:0009966]; spermatogenesis [GO:0007283]; sperm individualization [GO:0007291]
Q7K4X4	unreviewed	
Q7KMJ6	reviewed	cell differentiation [GO:0030154]; compound eye development [GO:0048749]; mRNA methylation [GO:0080009]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of stem cell differentiation [GO:2000737]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of gene expression [GO:0010628]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; sex differentiation [GO:0007548]; wing disc pattern formation [GO:0035222]
Q8IPW1	unreviewed	memory [GO:0007613]; olfactory behavior [GO:0042048]; regulation of Rho protein signal transduction [GO:0035023]; regulation of synapse structure or activity [GO:0050803]; response to ethanol [GO:0045471]; Rho protein signal transduction [GO:0007266]
Q8IR14	unreviewed	
Q8IRI7	unreviewed	
