Entry	Status	Gene ontology (molecular function)
P22361	reviewed	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; protein dimerization activity [GO:0046983]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription cofactor binding [GO:0001221]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]
Q80W03	reviewed	chromatin binding [GO:0003682]; estrogen response element binding [GO:0034056]; phosphoprotein binding [GO:0051219]; protein homodimerization activity [GO:0042803]
Q9JL10	reviewed	
E0CXP6	unreviewed	
Q8VD21	unreviewed	
Q9D1C8	reviewed	protein-containing complex binding [GO:0044877]; ubiquitin binding [GO:0043130]
E9Q5M9	unreviewed	metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]
S4R1L6	unreviewed	metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transcription regulatory region DNA binding [GO:0044212]
E9Q7L6	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
O55144	reviewed	sequence-specific DNA binding [GO:0043565]
Q07279	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein N-terminus binding [GO:0047485]; proximal promoter sequence-specific DNA binding [GO:0000987]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; WW domain binding [GO:0050699]
E9QAP1	unreviewed	metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]
P56477	reviewed	DNA-binding transcription factor activity [GO:0003700]; identical protein binding [GO:0042802]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region DNA binding [GO:0044212]
F8VQ05	unreviewed	
P60335	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; sequence-specific single stranded DNA binding [GO:0098847]; single-stranded DNA binding [GO:0003697]; translation activator activity [GO:0008494]
G3X8Y3	unreviewed	acetyltransferase activity [GO:0016407]; ribosome binding [GO:0043022]
Q61545	reviewed	calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
O08537	reviewed	DNA binding [GO:0003677]; drug binding [GO:0008144]; enzyme binding [GO:0019899]; estradiol binding [GO:1903924]; estrogen receptor activity [GO:0030284]; estrogen response element binding [GO:0034056]; hormone binding [GO:0042562]; identical protein binding [GO:0042802]; peroxisome proliferator activated receptor binding [GO:0042975]; promoter-specific chromatin binding [GO:1990841]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor activity, estrogen-activated sequence-specific DNA binding [GO:0038052]; sequence-specific DNA binding [GO:0043565]; steroid binding [GO:0005496]; steroid hormone binding [GO:1990239]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
Q8VH51	reviewed	RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]
O08609	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor binding [GO:0008134]
Q2VPU4	reviewed	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
O08674	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]
O08686	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]
P01101	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; protein heterodimerization activity [GO:0046982]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; R-SMAD binding [GO:0070412]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]
P05627	reviewed	activating transcription factor binding [GO:0033613]; cAMP response element binding [GO:0035497]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; GTPase activator activity [GO:0005096]; HMG box domain binding [GO:0071837]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; R-SMAD binding [GO:0070412]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]; transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000982]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; ubiquitin protein ligase binding [GO:0031625]
P16951	reviewed	cAMP response element binding [GO:0035497]; cAMP response element binding protein binding [GO:0008140]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; enhancer sequence-specific DNA binding [GO:0001158]; histone acetyltransferase activity [GO:0004402]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]
Q01147	reviewed	arrestin family protein binding [GO:1990763]; cAMP response element binding [GO:0035497]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; histone acetyltransferase binding [GO:0035035]; Hsp70 protein binding [GO:0030544]; identical protein binding [GO:0042802]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription coactivator binding [GO:0001225]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]
O08740	reviewed	DNA binding [GO:0003677]; LRR domain binding [GO:0030275]; protein dimerization activity [GO:0046983]; RNA polymerase II activity [GO:0001055]
P97760	reviewed	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]
Q99NE9	reviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
O08791	reviewed	metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q8K4J2	reviewed	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor binding [GO:0008134]
O08856	reviewed	phosphatase binding [GO:0019902]
Q920Q8	reviewed	
O08915	reviewed	aryl hydrocarbon receptor binding [GO:0017162]; GAF domain binding [GO:0036004]; transcription coregulator activity [GO:0003712]; unfolded protein binding [GO:0051082]
P30561	reviewed	aryl hydrocarbon receptor activity [GO:0004874]; aryl hydrocarbon receptor binding [GO:0017162]; chaperone binding [GO:0051087]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; E-box binding [GO:0070888]; enhancer binding [GO:0035326]; Hsp90 protein binding [GO:0051879]; nuclear receptor activity [GO:0004879]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; TBP-class protein binding [GO:0017025]; TFIID-class transcription factor complex binding [GO:0001094]; transcription coactivator binding [GO:0001223]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]
O09000	reviewed	androgen receptor binding [GO:0050681]; chromatin binding [GO:0003682]; disordered domain specific binding [GO:0097718]; estrogen receptor binding [GO:0030331]; histone acetyltransferase activity [GO:0004402]; nuclear hormone receptor binding [GO:0035257]; nuclear receptor binding [GO:0016922]; nuclear receptor transcription coactivator activity [GO:0030374]; peroxisome proliferator activated receptor binding [GO:0042975]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]; protein N-terminus binding [GO:0047485]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II regulatory region DNA binding [GO:0001012]; RNA polymerase II transcription regulator recruiting activity [GO:0001135]; transcription coactivator activity [GO:0003713]
O35973	reviewed	chromatin DNA binding [GO:0031490]; E-box binding [GO:0070888]; kinase binding [GO:0019900]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transcription corepressor binding [GO:0001222]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; ubiquitin protein ligase binding [GO:0031625]
O54915	reviewed	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; drug binding [GO:0008144]; nuclear receptor activity [GO:0004879]; nuclear receptor transcription coactivator activity [GO:0030374]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; signaling receptor activity [GO:0038023]; steroid hormone receptor activity [GO:0003707]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]
O88522	reviewed	identical protein binding [GO:0042802]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; linear polyubiquitin binding [GO:1990450]; metal ion binding [GO:0046872]; peroxisome proliferator activated receptor binding [GO:0042975]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; ubiquitin protein ligase binding [GO:0031625]
Q8BKT3	reviewed	proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q8BSY3	unreviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
Q8CFD5	reviewed	protein-containing complex binding [GO:0044877]; ubiquitin-protein transferase activity [GO:0004842]
Q8CFN5	reviewed	activating transcription factor binding [GO:0033613]; AT DNA binding [GO:0003680]; chromatin binding [GO:0003682]; distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; histone deacetylase binding [GO:0042826]; HMG box domain binding [GO:0071837]; protein heterodimerization activity [GO:0046982]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter sequence-specific DNA binding [GO:0000987]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding [GO:0000983]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]; transcription regulatory region DNA binding [GO:0044212]
Q8R1B8	reviewed	DNA-binding transcription factor activity [GO:0003700]; melatonin receptor activity [GO:0008502]; nuclear receptor activity [GO:0004879]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]
Q8VDQ8	reviewed	chromatin binding [GO:0003682]; histone acetyltransferase binding [GO:0035035]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; NAD+ binding [GO:0070403]; NAD-dependent histone deacetylase activity [GO:0017136]; NAD-dependent histone deacetylase activity (H4-K16 specific) [GO:0046970]; NAD-dependent protein deacetylase activity [GO:0034979]; protein deacetylase activity [GO:0033558]; transcription factor binding [GO:0008134]; tubulin deacetylase activity [GO:0042903]; ubiquitin binding [GO:0043130]; zinc ion binding [GO:0008270]
Q921X6	reviewed	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; double-stranded DNA binding [GO:0003690]
Q923E4	reviewed	bHLH transcription factor binding [GO:0043425]; deacetylase activity [GO:0019213]; enzyme binding [GO:0019899]; histone binding [GO:0042393]; histone deacetylase activity [GO:0004407]; HLH domain binding [GO:0043398]; identical protein binding [GO:0042802]; keratin filament binding [GO:1990254]; metal ion binding [GO:0046872]; mitogen-activated protein kinase binding [GO:0051019]; NAD+ binding [GO:0070403]; NAD-dependent histone deacetylase activity [GO:0017136]; NAD-dependent histone deacetylase activity (H3-K9 specific) [GO:0046969]; NAD-dependent protein deacetylase activity [GO:0034979]; nuclear hormone receptor binding [GO:0035257]; p53 binding [GO:0002039]; protein C-terminus binding [GO:0008022]; protein deacetylase activity [GO:0033558]; protein domain specific binding [GO:0019904]; protein kinase B binding [GO:0043422]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
Q924Z4	reviewed	DNA binding [GO:0003677]; sphingosine N-acyltransferase activity [GO:0050291]
Q925H1	reviewed	DNA-binding transcription factor activity [GO:0003700]; protein domain specific binding [GO:0019904]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]
Q9D0D5	reviewed	metal ion binding [GO:0046872]; RNA polymerase II complex binding [GO:0000993]; sequence-specific DNA binding [GO:0043565]; TFIIH-class transcription factor complex binding [GO:0001097]
Q9WUU6	reviewed	nuclear receptor activity [GO:0004879]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
Q9Z148	reviewed	C2H2 zinc finger domain binding [GO:0070742]; histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity (H3-K27 specific) [GO:0046976]; histone methyltransferase activity (H3-K9 specific) [GO:0046974]; p53 binding [GO:0002039]; promoter-specific chromatin binding [GO:1990841]; protein-lysine N-methyltransferase activity [GO:0016279]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]
O09105	reviewed	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]
Q61909	reviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; transcription corepressor activity [GO:0003714]
O09106	reviewed	activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; core promoter sequence-specific DNA binding [GO:0001046]; deacetylase activity [GO:0019213]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; E-box binding [GO:0070888]; enzyme binding [GO:0019899]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; Krueppel-associated box domain binding [GO:0035851]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]; NF-kappaB binding [GO:0051059]; p53 binding [GO:0002039]; promoter-specific chromatin binding [GO:1990841]; protein-containing complex binding [GO:0044877]; protein deacetylase activity [GO:0033558]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II repressing transcription factor binding [GO:0001103]; RNA polymerase II transcription factor binding [GO:0001085]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; transcription regulatory region sequence-specific DNA binding [GO:0000976]
Q60973	reviewed	RNA binding [GO:0003723]
Q921E6	reviewed	chromatin binding [GO:0003682]; histone methyltransferase activity [GO:0042054]; histone methyltransferase activity (H3-K27 specific) [GO:0046976]; identical protein binding [GO:0042802]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
O35134	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; RNA polymerase I activity [GO:0001054]; zinc ion binding [GO:0008270]
P03966	reviewed	kinase binding [GO:0019900]; protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
P15806	reviewed	bHLH transcription factor binding [GO:0043425]; chromatin binding [GO:0003682]; distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; E-box binding [GO:0070888]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; PDZ domain binding [GO:0030165]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; repressing transcription factor binding [GO:0070491]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; vitamin D response element binding [GO:0070644]
P25425	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; signaling receptor binding [GO:0005102]; transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding [GO:0000983]; transcription regulatory region sequence-specific DNA binding [GO:0000976]
P61458	reviewed	4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]; identical protein binding [GO:0042802]; phenylalanine 4-monooxygenase activity [GO:0004505]; transcription coactivator activity [GO:0003713]
O35137	reviewed	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; HMG box domain binding [GO:0071837]; protein heterodimerization activity [GO:0046982]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]
O35602	reviewed	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
O88609	reviewed	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding [GO:0000983]
O88621	reviewed	androgen receptor binding [GO:0050681]; bHLH transcription factor binding [GO:0043425]; co-SMAD binding [GO:0070410]; distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; protein domain specific binding [GO:0019904]; R-SMAD binding [GO:0070412]; sequence-specific DNA binding [GO:0043565]; SMAD binding [GO:0046332]; transcription regulatory region DNA binding [GO:0044212]
P18111	reviewed	distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA-binding transcription factor activity [GO:0003700]; methyl-CpG binding [GO:0008327]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription regulatory region DNA binding [GO:0044212]
P23812	reviewed	sequence-specific DNA binding [GO:0043565]
P24610	reviewed	chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; HMG box domain binding [GO:0071837]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]
P31310	reviewed	DNA binding [GO:0003677]; histone deacetylase binding [GO:0042826]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
P31311	reviewed	DNA binding [GO:0003677]; sequence-specific DNA binding [GO:0043565]
