Entry	Status	Gene ontology (molecular function)
Q08271	reviewed	1,3-beta-glucanosyltransferase activity [GO:0042124]
Q12380	reviewed	enzyme activator activity [GO:0008047]; hydrolase activity [GO:0016787]
O13548	reviewed	
Q01846	reviewed	phosphatidylinositol-3-phosphate binding [GO:0032266]
O13549	reviewed	
P16467	reviewed	branched-chain-2-oxoacid decarboxylase activity [GO:0047433]; carboxy-lyase activity [GO:0016831]; indolepyruvate decarboxylase activity [GO:0047434]; magnesium ion binding [GO:0000287]; phenylpyruvate decarboxylase activity [GO:0050177]; pyruvate decarboxylase activity [GO:0004737]; thiamine pyrophosphate binding [GO:0030976]
P47821	reviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]
O13550	reviewed	
P22696	reviewed	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA polymerase II complex binding [GO:0000993]
P33203	reviewed	RNA binding [GO:0003723]
P40070	reviewed	RNA binding [GO:0003723]; U6 snRNA binding [GO:0017070]
P46995	reviewed	histone methyltransferase activity [GO:0042054]; histone methyltransferase activity (H3-K36 specific) [GO:0046975]
P47093	reviewed	RNA binding [GO:0003723]
P47135	reviewed	mRNA binding [GO:0003729]
O13553	reviewed	
P53910	reviewed	
O13554	reviewed	
P38177	reviewed	
P40465	reviewed	
O13555	reviewed	
P32569	reviewed	activating transcription factor binding [GO:0033613]; RNA polymerase II complex recruiting activity [GO:0001139]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; transcription coregulator activity [GO:0003712]
O13556	reviewed	
P15938	reviewed	ATP binding [GO:0005524]; ATP-dependent 3'-5' RNA helicase activity [GO:0034459]; RNA binding [GO:0003723]; RNA-dependent ATPase activity [GO:0008186]
O13558	reviewed	
P15274	reviewed	AMP deaminase activity [GO:0003876]; metal ion binding [GO:0046872]
P32366	reviewed	proton-exporting ATPase activity, phosphorylative mechanism [GO:0008553]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
Q12346	reviewed	
O13559	reviewed	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; nucleic acid binding [GO:0003676]
P40029	reviewed	peptide-methionine (S)-S-oxide reductase activity [GO:0008113]
Q03407	reviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
O13561	reviewed	
P38041	reviewed	phospholipid binding [GO:0005543]
O13562	reviewed	
Q06598	reviewed	antimonite transmembrane transporter activity [GO:0015104]; antiporter activity [GO:0015297]; arsenite transmembrane transporter activity [GO:0015105]
O13563	reviewed	endopeptidase activator activity [GO:0061133]; proteasome binding [GO:0070628]; ubiquitin binding [GO:0043130]
P32565	reviewed	enzyme regulator activity [GO:0030234]; protein binding, bridging [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]
O13564	reviewed	
Q12280	reviewed	actin filament binding [GO:0051015]; calmodulin binding [GO:0005516]
O13565	reviewed	
P14908	reviewed	DNA binding [GO:0003677]; methyltransferase activity [GO:0008168]; mitochondrial sequence-specific DNA-binding transcription factor activity [GO:0034246]; RNA binding [GO:0003723]
P34166	reviewed	mating pheromone activity [GO:0000772]
O13566	reviewed	
Q03083	reviewed	
P23639	reviewed	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]
P36224	reviewed	motor activity [GO:0003774]; structural constituent of cytoskeleton [GO:0005200]
P40054	reviewed	alpha-ketoglutarate reductase activity [GO:0061759]; NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]
O13568	reviewed	
O13569	reviewed	
O13573	reviewed	
O13574	reviewed	
P38342	reviewed	3-dehydrosphinganine reductase activity [GO:0047560]
O13575	reviewed	
O13576	reviewed	
Q07990	reviewed	
O13577	reviewed	ribonucleoside-diphosphate reductase inhibitor activity [GO:1990846]
P40573	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II activating transcription factor binding [GO:0001102]
Q06224	reviewed	5'-3' exonuclease activity [GO:0008409]; endoribonuclease activity [GO:0004521]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
O13578	reviewed	
P43539	reviewed	
O13579	reviewed	
O13582	reviewed	
P25344	reviewed	protein kinase regulator activity [GO:0019887]; SAM domain binding [GO:0032093]
O13583	reviewed	
Q12300	reviewed	carbohydrate:proton symporter activity [GO:0005351]; glucose transmembrane transporter activity [GO:0005355]
O13585	reviewed	
P02829	reviewed	ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082]
O13587	reviewed	
P18899	reviewed	ATPase activity [GO:0016887]; GTPase activity [GO:0003924]
O13588	reviewed	
Q05080	reviewed	cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]
O14455	reviewed	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P38203	reviewed	RNA binding [GO:0003723]
Q06449	reviewed	
Q12306	reviewed	identical protein binding [GO:0042802]; protein tag [GO:0031386]
O14467	reviewed	sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]
P40537	reviewed	cysteine-type peptidase activity [GO:0008234]; SUMO-specific isopeptidase activity [GO:0070140]
O14468	reviewed	
P11709	reviewed	microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803]
P16649	reviewed	histone binding [GO:0042393]; histone deacetylase binding [GO:0042826]; mediator complex binding [GO:0036033]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; transcription corepressor activity [GO:0003714]
P21705	reviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
P32364	reviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; motor activity [GO:0003774]
P32448	reviewed	
P32457	reviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; protein-containing complex scaffold activity [GO:0032947]; structural molecule activity [GO:0005198]
P36022	reviewed	ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light chain binding [GO:0045503]; dynein light intermediate chain binding [GO:0051959]
P38236	reviewed	
P46677	reviewed	chromatin binding [GO:0003682]; histone acetyltransferase activity [GO:0004402]; protein-containing complex scaffold activity [GO:0032947]; protein heterodimerization activity [GO:0046982]; sequence-specific DNA binding [GO:0043565]; TBP-class protein binding [GO:0017025]
P47124	reviewed	alpha-1,6-mannosyltransferase activity [GO:0000009]; transferase activity, transferring glycosyl groups [GO:0016757]
P53148	reviewed	microtubule binding [GO:0008017]; structural constituent of cytoskeleton [GO:0005200]
P60010	reviewed	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; structural constituent of cytoskeleton [GO:0005200]
Q00402	reviewed	phospholipid binding [GO:0005543]; tubulin binding [GO:0015631]
Q07732	reviewed	
Q08550	reviewed	structural molecule activity [GO:0005198]
Q12080	reviewed	5S rRNA binding [GO:0008097]; rRNA binding [GO:0019843]
Q12411	reviewed	structural molecule activity [GO:0005198]
O94084	reviewed	
P28004	reviewed	
P38166	reviewed	
O94085	reviewed	
P25627	reviewed	rRNA (guanine) methyltransferase activity [GO:0016435]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
P43558	reviewed	metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; ubiquitin-specific protease activity involved in negative regulation of retrograde protein transport, ER to cytosol [GO:1904265]
P43560	reviewed	sterol transporter activity [GO:0015248]
P53427	reviewed	structural constituent of cell wall [GO:0005199]
O94086	reviewed	
P43562	reviewed	carbohydrate:proton symporter activity [GO:0005351]; glucose transmembrane transporter activity [GO:0005355]; transmembrane transporter activity [GO:0022857]
O94742	reviewed	
P38009	reviewed	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]
P47130	reviewed	double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]
P00044	reviewed	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
P38810	reviewed	signal sequence binding [GO:0005048]; zinc ion binding [GO:0008270]
P53823	reviewed	glutaminase activity [GO:0004359]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]
P00045	reviewed	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
P20447	reviewed	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]; RNA-dependent ATPase activity [GO:0008186]
P23202	reviewed	glutathione peroxidase activity [GO:0004602]; phosphoprotein binding [GO:0051219]; transcription corepressor activity [GO:0003714]
P38881	reviewed	
P00127	reviewed	ubiquinol-cytochrome-c reductase activity [GO:0008121]
P32259	reviewed	RNA polymerase II activating transcription factor binding [GO:0001102]
P00128	reviewed	
P38822	reviewed	enzyme activator activity [GO:0008047]
P39742	reviewed	protein transporter activity [GO:0008565]
P53168	reviewed	microtubule plus-end binding [GO:0051010]
P00330	reviewed	alcohol dehydrogenase (NAD) activity [GO:0004022]; identical protein binding [GO:0042802]; methylglyoxal reductase (NADH-dependent) activity [GO:0019170]; zinc ion binding [GO:0008270]
P34230	reviewed	ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]; long-chain fatty acid transporter activity [GO:0005324]
P39109	reviewed	ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]; bilirubin transmembrane transporter activity [GO:0015127]; glutathione S-conjugate-exporting ATPase activity [GO:0015431]
P00331	reviewed	alcohol dehydrogenase (NAD) activity [GO:0004022]; zinc ion binding [GO:0008270]
P40318	reviewed	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
P00358	reviewed	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; promoter-specific chromatin binding [GO:1990841]
Q02724	reviewed	cysteine-type peptidase activity [GO:0008234]; SUMO-specific isopeptidase activity [GO:0070140]
Q02821	reviewed	disordered domain specific binding [GO:0097718]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein-containing complex binding [GO:0044877]; protein transporter activity [GO:0008565]
Q04978	reviewed	
Q12349	reviewed	
P00359	reviewed	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; RNA binding [GO:0003723]
Q04439	reviewed	actin binding [GO:0003779]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]
P00360	reviewed	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]
P00425	reviewed	cytochrome-c oxidase activity [GO:0004129]
P38745	reviewed	
P38907	reviewed	structural molecule activity [GO:0005198]
P00431	reviewed	cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]
P25354	reviewed	
Q12230	reviewed	lipid binding [GO:0008289]
P00445	reviewed	copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]; superoxide dismutase copper chaperone activity [GO:0016532]; zinc ion binding [GO:0008270]
P00447	reviewed	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
P23337	reviewed	glucose binding [GO:0005536]; glycogen (starch) synthase activity [GO:0004373]; glycogen synthase activity, transferring glucose-1-phosphate [GO:0061547]; protein kinase binding [GO:0019901]
P38238	reviewed	tRNA methyltransferase activity [GO:0008175]
P48564	reviewed	
Q03370	reviewed	
P00546	reviewed	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; histone binding [GO:0042393]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II complex binding [GO:0000993]
P07866	reviewed	Ras guanyl-nucleotide exchange factor activity [GO:0005088]
P08153	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; mediator complex binding [GO:0036033]; metal ion binding [GO:0046872]; RNA polymerase II regulatory region DNA binding [GO:0001012]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
P09959	reviewed	DNA binding [GO:0003677]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; transcription coactivator activity [GO:0003713]
P0CX14	reviewed	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; nucleic acid binding [GO:0003676]
P0CX15	reviewed	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; nucleic acid binding [GO:0003676]
P11710	reviewed	
P11927	reviewed	
P11978	reviewed	double-stranded DNA binding [GO:0003690]; nucleosome binding [GO:0031491]; protein-containing complex scaffold activity [GO:0032947]
P12611	reviewed	phosphatase activator activity [GO:0019211]
P12954	reviewed	ATP binding [GO:0005524]; ATP-dependent 3'-5' DNA helicase activity [GO:0043140]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; enzyme activator activity [GO:0008047]
P13186	reviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
P13365	reviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
P13382	reviewed	4 iron, 4 sulfur cluster binding [GO:0051539]; DNA-directed DNA polymerase activity [GO:0003887]; DNA replication origin binding [GO:0003688]; metal ion binding [GO:0046872]; nucleoside binding [GO:0001882]; protein heterodimerization activity [GO:0046982]; purine nucleotide binding [GO:0017076]
P14180	reviewed	chitin synthase activity [GO:0004100]
P14737	reviewed	double-stranded DNA binding [GO:0003690]; enzyme activator activity [GO:0008047]; histone binding [GO:0042393]
P17119	reviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein heterodimerization activity [GO:0046982]
P17121	reviewed	GTPase activator activity [GO:0005096]
P20437	reviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
P20486	reviewed	cyclin-dependent protein serine/threonine kinase activator activity [GO:0061575]; histone binding [GO:0042393]; protein kinase activator activity [GO:0030295]; protein kinase binding [GO:0019901]; ubiquitin binding [GO:0043130]
P20676	reviewed	nuclear localization sequence binding [GO:0008139]; structural constituent of nuclear pore [GO:0017056]
P21192	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; proximal promoter sequence-specific DNA binding [GO:0000987]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000982]
P21268	reviewed	cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; metal ion binding [GO:0046872]
P21339	reviewed	
P21657	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly [GO:0001128]; RNA polymerase II transcription regulator recruiting activity [GO:0001135]; zinc ion binding [GO:0008270]
P21827	reviewed	Ran guanyl-nucleotide exchange factor activity [GO:0005087]
P22204	reviewed	ATP binding [GO:0005524]; protein kinase activity involved in regulation of protein localization to cell division site involved in cytokinesis [GO:1901916]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]
P22768	reviewed	argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]
P23179	reviewed	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA topoisomerase type II (ATP-hydrolyzing) activity [GO:0003918]; endodeoxyribonuclease activity, producing 3'-phosphomonoesters [GO:0016889]; metal ion binding [GO:0046872]
P23201	reviewed	MAP-kinase scaffold activity [GO:0005078]
P23748	reviewed	protein tyrosine phosphatase activity [GO:0004725]
P24279	reviewed	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; helicase activity [GO:0004386]; MCM complex binding [GO:1904931]
P24482	reviewed	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]
P24583	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase C activity [GO:0004697]; protein serine/threonine kinase activity [GO:0004674]
P24870	reviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
P24871	reviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
P25364	reviewed	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]
P25558	reviewed	Rho guanyl-nucleotide exchange factor activity [GO:0005089]
P25579	reviewed	protein kinase inhibitor activity [GO:0004860]
P26309	reviewed	anaphase-promoting complex binding [GO:0010997]; ubiquitin ligase activator activity [GO:1990757]
P26798	reviewed	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]
P28006	reviewed	heat shock protein binding [GO:0031072]; protein phosphatase regulator activity [GO:0019888]
P28708	reviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
P28743	reviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]
P29366	reviewed	phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol binding [GO:0035091]; protein-containing complex scaffold activity [GO:0032947]; superoxide-generating NADPH oxidase activator activity [GO:0016176]
P30283	reviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
P31111	reviewed	SUMO polymer binding [GO:0032184]
P31380	reviewed	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-dependent ATPase activity [GO:0008094]; helicase activity [GO:0004386]; identical protein binding [GO:0042802]
P32325	reviewed	DNA replication origin binding [GO:0003688]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; zinc ion binding [GO:0008270]
P32328	reviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
P32334	reviewed	osmosensor activity [GO:0005034]
P32356	reviewed	alpha,alpha-trehalase activity [GO:0004555]; calcium ion binding [GO:0005509]
P32380	reviewed	structural constituent of cytoskeleton [GO:0005200]
P32562	reviewed	ATP binding [GO:0005524]; centromeric DNA binding [GO:0019237]; phosphoprotein binding [GO:0051219]; protein-containing complex binding [GO:0044877]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
P32786	reviewed	RNA polymerase I CORE element sequence-specific DNA binding [GO:0001164]; RNA polymerase I regulatory region DNA binding [GO:0001013]; RNA polymerase I transcription factor binding [GO:0001179]
P32801	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
P32833	reviewed	chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]
P32873	reviewed	GTPase activator activity [GO:0005096]; phosphatidylinositol-3-phosphate binding [GO:0032266]
P32900	reviewed	
P32944	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
P33306	reviewed	
P33332	reviewed	GTP-Rho binding [GO:0017049]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]
P34161	reviewed	RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
P34233	reviewed	proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; proximal promoter sequence-specific DNA binding [GO:0000987]; zinc ion binding [GO:0008270]
P34241	reviewed	
P34252	reviewed	DNA replication origin binding [GO:0003688]; single-stranded DNA binding [GO:0003697]
P36005	reviewed	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]
P36093	reviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
P36157	reviewed	
P36158	reviewed	phosphatidylinositol-3-phosphate binding [GO:0032266]
P36165	reviewed	calcium-independent phospholipase A2 activity [GO:0047499]; lysophosphatidic acid acyltransferase activity [GO:0042171]; sterol esterase activity [GO:0004771]; triglyceride lipase activity [GO:0004806]
P36166	reviewed	metal ion binding [GO:0046872]; Rho GDP-dissociation inhibitor activity [GO:0005094]
