Entry	Status	Gene ontology (molecular function)
Q96CV9	reviewed	identical protein binding [GO:0042802]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; metal ion binding [GO:0046872]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein binding, bridging [GO:0030674]; protein C-terminus binding [GO:0008022]; Rab GTPase binding [GO:0017137]
A0AV96	reviewed	RNA binding [GO:0003723]
Q6P1W5	reviewed	
Q96LI6	reviewed	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
A0AVK6	reviewed	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; proximal promoter sequence-specific DNA binding [GO:0000987]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
Q01844	reviewed	calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
Q12800	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein C-terminus binding [GO:0008022]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter sequence-specific DNA binding [GO:0000987]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]
Q13643	reviewed	actin binding [GO:0003779]; metal ion binding [GO:0046872]
Q8IUH5	reviewed	identical protein binding [GO:0042802]; magnesium ion transmembrane transporter activity [GO:0015095]; palmitoyltransferase activity [GO:0016409]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]
Q8N653	reviewed	DNA-binding transcription factor activity [GO:0003700]
A0AVT1	reviewed	ATP binding [GO:0005524]; FAT10 activating enzyme activity [GO:0019780]; ubiquitin activating enzyme activity [GO:0004839]
O15198	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity [GO:0030618]
Q6NT76	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; double-stranded telomeric DNA binding [GO:0003691]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; sequence-specific DNA binding [GO:0043565]; telomeric DNA binding [GO:0042162]
A0JLT2	reviewed	transcription coregulator activity [GO:0003712]; transcription factor binding [GO:0008134]
F5CTF3	unreviewed	ATP binding [GO:0005524]; nucleoside kinase activity [GO:0019206]
P25963	reviewed	enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; NF-kappaB binding [GO:0051059]; nuclear localization sequence binding [GO:0008139]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]
P27707	reviewed	ATP binding [GO:0005524]; deoxycytidine kinase activity [GO:0004137]; deoxynucleoside kinase activity [GO:0019136]; drug binding [GO:0008144]; nucleoside kinase activity [GO:0019206]; protein homodimerization activity [GO:0042803]
P28360	reviewed	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; enhancer binding [GO:0035326]; p53 binding [GO:0002039]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000982]
Q6IAN0	reviewed	oxidoreductase activity [GO:0016491]
Q75LH2	unreviewed	
Q96JH8	reviewed	
A0JNW5	reviewed	GARP complex binding [GO:0062069]; protein homodimerization activity [GO:0042803]
P54253	reviewed	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; poly(G) binding [GO:0034046]; poly(U) RNA binding [GO:0008266]; protein C-terminus binding [GO:0008022]; protein self-association [GO:0043621]
A0MNP2	unreviewed	
P13686	reviewed	acid phosphatase activity [GO:0003993]; ferric iron binding [GO:0008199]; ferrous iron binding [GO:0008198]
Q08345	reviewed	ATP binding [GO:0005524]; collagen binding [GO:0005518]; metal ion binding [GO:0046872]; protein tyrosine kinase collagen receptor activity [GO:0038062]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane signaling receptor activity [GO:0004888]
A0MZ66	reviewed	actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; kinesin binding [GO:0019894]
O75936	reviewed	gamma-butyrobetaine dioxygenase activity [GO:0008336]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; zinc ion binding [GO:0008270]
P05413	reviewed	cytoskeletal protein binding [GO:0008092]; icosatetraenoic acid binding [GO:0050543]; long-chain fatty acid binding [GO:0036041]; long-chain fatty acid transporter activity [GO:0005324]; oleic acid binding [GO:0070538]
P62508	reviewed	AF-2 domain binding [GO:0050682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; retinoic acid receptor activity [GO:0003708]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; steroid binding [GO:0005496]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
Q6PIQ7	unreviewed	
Q96KG7	reviewed	complement component C1q binding [GO:0001849]; Notch binding [GO:0005112]; scavenger receptor activity [GO:0005044]
Q9Y5B8	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]
A0PJX4	reviewed	
Q8ND90	reviewed	
A0PK00	reviewed	
O95273	reviewed	
A0S2M1	unreviewed	NADH dehydrogenase (ubiquinone) activity [GO:0008137]
P25054	reviewed	beta-catenin binding [GO:0008013]; dynein complex binding [GO:0070840]; gamma-catenin binding [GO:0045295]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]; microtubule plus-end binding [GO:0051010]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; ubiquitin protein ligase binding [GO:0031625]
A0ZT98	unreviewed	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein-containing complex binding [GO:0044877]; protein serine/threonine kinase activity [GO:0004674]
P08238	reviewed	ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; ATP-dependent protein binding [GO:0043008]; cadherin binding [GO:0045296]; CTP binding [GO:0002135]; dATP binding [GO:0032564]; disordered domain specific binding [GO:0097718]; DNA polymerase binding [GO:0070182]; double-stranded RNA binding [GO:0003725]; GTP binding [GO:0005525]; heat shock protein binding [GO:0031072]; histone deacetylase binding [GO:0042826]; histone methyltransferase binding [GO:1990226]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; kinase binding [GO:0019900]; MHC class II protein complex binding [GO:0023026]; nitric-oxide synthase regulator activity [GO:0030235]; peptide binding [GO:0042277]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; RNA binding [GO:0003723]; sulfonylurea receptor binding [GO:0017098]; tau protein binding [GO:0048156]; TPR domain binding [GO:0030911]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]; UTP binding [GO:0002134]
P36897	reviewed	activin binding [GO:0048185]; ATP binding [GO:0005524]; growth factor binding [GO:0019838]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta-activated receptor activity [GO:0005024]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity, type I [GO:0005025]; type II transforming growth factor beta receptor binding [GO:0005114]
P37173	reviewed	ATP binding [GO:0005524]; glycosaminoglycan binding [GO:0005539]; growth factor binding [GO:0019838]; metal ion binding [GO:0046872]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; SMAD binding [GO:0046332]; transforming growth factor beta-activated receptor activity [GO:0005024]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity, type II [GO:0005026]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]; type III transforming growth factor beta receptor binding [GO:0034714]; type I transforming growth factor beta receptor binding [GO:0034713]
A1A4S6	reviewed	GTPase activator activity [GO:0005096]
P78314	reviewed	phosphotyrosine residue binding [GO:0001784]; SH3/SH2 adaptor activity [GO:0005070]; SH3 domain binding [GO:0017124]
Q92625	reviewed	ephrin receptor binding [GO:0046875]
A1A580	reviewed	
O14503	reviewed	bHLH transcription factor binding [GO:0043425]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; MRF binding [GO:0043426]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
Q63HR2	reviewed	kinase binding [GO:0019900]; metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]
Q6IB83	unreviewed	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]
A1A5C7	reviewed	transmembrane transporter activity [GO:0022857]
P26371	reviewed	
P60410	reviewed	identical protein binding [GO:0042802]
Q7Z3S9	reviewed	calcium ion binding [GO:0005509]; Notch binding [GO:0005112]
A1A5D2	unreviewed	GTPase activator activity [GO:0005096]; phosphatidylinositol binding [GO:0035091]
P63000	reviewed	ATPase binding [GO:0051117]; enzyme binding [GO:0019899]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; histone deacetylase binding [GO:0042826]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; Rab GTPase binding [GO:0017137]; Rho GDP-dissociation inhibitor binding [GO:0051022]; thioesterase binding [GO:0031996]
A1A5D9	reviewed	Rab GTPase binding [GO:0017137]
Q6P597	reviewed	kinesin binding [GO:0019894]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]
A1E959	reviewed	
Q9H0E2	reviewed	interleukin-1, type I receptor binding [GO:0005150]; kinase binding [GO:0019900]; SUMO binding [GO:0032183]; Toll-like receptor binding [GO:0035325]; ubiquitin binding [GO:0043130]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase binding [GO:0031625]
A1L0T0	reviewed	magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; transferase activity [GO:0016740]
O60784	reviewed	clathrin binding [GO:0030276]
P12956	reviewed	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; cyclin binding [GO:0030332]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]; telomeric DNA binding [GO:0042162]; transcription regulatory region DNA binding [GO:0044212]
Q8TAP6	reviewed	
A1L162	reviewed	
O75367	reviewed	chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; double-stranded methylated DNA binding [GO:0010385]; enzyme binding [GO:0019899]; nucleosomal DNA binding [GO:0031492]; promoter-specific chromatin binding [GO:1990841]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; protein serine/threonine kinase inhibitor activity [GO:0030291]; rDNA binding [GO:0000182]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription regulatory region DNA binding [GO:0044212]
Q96ST2	reviewed	
A1L190	reviewed	
P49441	reviewed	inositol-1,3,4-trisphosphate 1-phosphatase activity [GO:0052829]; inositol-1,4-bisphosphate 1-phosphatase activity [GO:0004441]; metal ion binding [GO:0046872]
Q96CS2	reviewed	
Q9UL45	reviewed	actin filament binding [GO:0051015]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; syntaxin binding [GO:0019905]
A1L3X0	reviewed	3-oxo-arachidoyl-CoA synthase activity [GO:0102336]; 3-oxo-cerotoyl-CoA synthase activity [GO:0102337]; 3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]
Q96EV8	reviewed	
A1L3X4	reviewed	metal ion binding [GO:0046872]
P60370	reviewed	identical protein binding [GO:0042802]
P60411	reviewed	
A1L3Z8	unreviewed	
Q5VTD9	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II transcription factor binding [GO:0001085]
A1L429	reviewed	
Q53SE7	unreviewed	
Q8NEA9	reviewed	
Q96IK5	reviewed	identical protein binding [GO:0042802]
A1L443	reviewed	
P62993	reviewed	1-phosphatidylinositol-3-kinase activity [GO:0016303]; ephrin receptor binding [GO:0046875]; epidermal growth factor receptor binding [GO:0005154]; identical protein binding [GO:0042802]; insulin receptor substrate binding [GO:0043560]; neurotrophin TRKA receptor binding [GO:0005168]; phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; phosphotyrosine residue binding [GO:0001784]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; RNA binding [GO:0003723]; SH3/SH2 adaptor activity [GO:0005070]; SH3 domain binding [GO:0017124]
Q8NDC4	reviewed	
Q9UQR1	reviewed	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region DNA binding [GO:0044212]
A1L4H1	reviewed	extracellular matrix binding [GO:0050840]; fibronectin binding [GO:0001968]; laminin binding [GO:0043236]; scavenger receptor activity [GO:0005044]
P37198	reviewed	chromatin binding [GO:0003682]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; kinesin binding [GO:0019894]; phospholipid binding [GO:0005543]; PTB domain binding [GO:0051425]; receptor signaling complex scaffold activity [GO:0030159]; SH2 domain binding [GO:0042169]; structural constituent of nuclear pore [GO:0017056]; thyroid hormone receptor binding [GO:0046966]; ubiquitin binding [GO:0043130]
Q13077	reviewed	identical protein binding [GO:0042802]; thioesterase binding [GO:0031996]; tumor necrosis factor receptor binding [GO:0005164]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]
Q13503	reviewed	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]
Q7Z6G3	reviewed	A2A adenosine receptor binding [GO:0031687]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; type 5 metabotropic glutamate receptor binding [GO:0031802]
Q96L14	reviewed	identical protein binding [GO:0042802]
Q9UPT5	reviewed	
Q9Y6Y8	reviewed	metal ion binding [GO:0046872]; phospholipase activity [GO:0004620]; RNA binding [GO:0003723]
A1L4K1	reviewed	
O95835	reviewed	ATP binding [GO:0005524]; estrogen receptor binding [GO:0030331]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]
O95990	reviewed	actin binding [GO:0003779]
P10768	reviewed	carboxylic ester hydrolase activity [GO:0052689]; hydrolase activity, acting on ester bonds [GO:0016788]; identical protein binding [GO:0042802]; methylumbelliferyl-acetate deacetylase activity [GO:0047374]; S-formylglutathione hydrolase activity [GO:0018738]
P17024	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
P28070	reviewed	endopeptidase activity [GO:0004175]; lipopolysaccharide binding [GO:0001530]; threonine-type endopeptidase activity [GO:0004298]
P29972	reviewed	ammonium transmembrane transporter activity [GO:0008519]; carbon dioxide transmembrane transporter activity [GO:0035379]; glycerol transmembrane transporter activity [GO:0015168]; identical protein binding [GO:0042802]; intracellular cGMP-activated cation channel activity [GO:0005223]; nitric oxide transmembrane transporter activity [GO:0030184]; potassium channel activity [GO:0005267]; potassium ion transmembrane transporter activity [GO:0015079]; transmembrane transporter activity [GO:0022857]; water channel activity [GO:0015250]; water transmembrane transporter activity [GO:0005372]
P31146	reviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; cytoskeletal protein binding [GO:0008092]; myosin heavy chain binding [GO:0032036]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]
P40426	reviewed	distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]
Q00994	reviewed	cysteine-type endopeptidase activator activity involved in apoptotic process [GO:0008656]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; nerve growth factor receptor binding [GO:0005163]
Q06787	reviewed	chromatin binding [GO:0003682]; dynein complex binding [GO:0070840]; G-quadruplex RNA binding [GO:0002151]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; methylated histone binding [GO:0035064]; microtubule binding [GO:0008017]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; poly(G) binding [GO:0034046]; poly(U) RNA binding [GO:0008266]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]; RNA strand annealing activity [GO:0033592]; sequence-specific mRNA binding [GO:1990825]; siRNA binding [GO:0035197]; translation initiation factor binding [GO:0031369]; translation regulator activity [GO:0045182]; translation repressor activity [GO:0030371]
Q08117	reviewed	identical protein binding [GO:0042802]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]
Q14324	reviewed	actin filament binding [GO:0051015]; muscle alpha-actinin binding [GO:0051371]; structural constituent of muscle [GO:0008307]
Q14738	reviewed	phosphoprotein phosphatase activity [GO:0004721]; protein phosphatase activator activity [GO:0072542]; protein phosphatase regulator activity [GO:0019888]; protein serine/threonine phosphatase activity [GO:0004722]
Q15973	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
Q16670	reviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]
Q3B820	reviewed	identical protein binding [GO:0042802]; microtubule binding [GO:0008017]
Q53FD0	reviewed	metal ion binding [GO:0046872]
Q6IAM1	unreviewed	
Q6NYC8	reviewed	actin binding [GO:0003779]; phosphatase binding [GO:0019902]
Q6P1J9	reviewed	RNA polymerase II complex binding [GO:0000993]
Q7Z3B3	reviewed	histone acetyltransferase binding [GO:0035035]
Q7Z3I7	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]
Q86VK4	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
Q86YD7	reviewed	
Q8IY31	reviewed	opsin binding [GO:0002046]; Rab GTPase binding [GO:0017137]
Q8N8B7	reviewed	
Q8NEF3	reviewed	
Q8TAU3	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
Q8TD31	reviewed	identical protein binding [GO:0042802]
Q8WY48	unreviewed	
Q92569	reviewed	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]; phosphotyrosine residue binding [GO:0001784]
Q96BZ8	reviewed	
Q96NC0	reviewed	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
Q96SQ5	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
Q99608	reviewed	gamma-tubulin binding [GO:0043015]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q9BXY8	reviewed	
Q9H0A9	reviewed	
Q9H0E9	reviewed	DNA-binding transcription factor activity [GO:0003700]; thyroid hormone receptor activity [GO:0004887]
Q9H6F0	unreviewed	nucleic acid binding [GO:0003676]
Q9H788	reviewed	phosphatase binding [GO:0019902]
Q9HC52	reviewed	methylated histone binding [GO:0035064]; single-stranded RNA binding [GO:0003727]; ubiquitin-protein transferase activator activity [GO:0097027]
Q9P0T4	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
Q9UGP5	reviewed	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]
Q9UIE0	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
Q9Y3B7	reviewed	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
A1XBS5	reviewed	
Q92624	reviewed	microtubule motor activity [GO:0003777]
Q9Y3M2	reviewed	beta-catenin binding [GO:0008013]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]
A2RRD8	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
P60409	reviewed	identical protein binding [GO:0042802]
A2RRG2	unreviewed	
P61964	reviewed	histone-lysine N-methyltransferase activity [GO:0018024]; methylated histone binding [GO:0035064]
A2RRH5	reviewed	
B4DYC6	unreviewed	
P08243	reviewed	asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; cofactor binding [GO:0048037]; protein homodimerization activity [GO:0042803]
A2RRL7	reviewed	
P15884	reviewed	bHLH transcription factor binding [GO:0043425]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; identical protein binding [GO:0042802]; protein C-terminus binding [GO:0008022]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; TFIIB-class transcription factor binding [GO:0001093]; transcription factor activity, sequence-specific DNA binding, RNA polymerase recruiting [GO:0001011]
P31153	reviewed	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; methionine adenosyltransferase activity [GO:0004478]
A2RRP1	reviewed	SNARE binding [GO:0000149]
O95897	reviewed	
A2RTX5	reviewed	ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]
B2RDX5	unreviewed	ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]
P26639	reviewed	ATP binding [GO:0005524]; protein homodimerization activity [GO:0042803]; threonine-tRNA ligase activity [GO:0004829]; tRNA binding [GO:0000049]
A2RU14	reviewed	
