Entry	Status	Gene ontology (biological process)
P22361	reviewed	bile acid and bile salt transport [GO:0015721]; bile acid biosynthetic process [GO:0006699]; blastocyst development [GO:0001824]; bone resorption [GO:0045453]; cholesterol metabolic process [GO:0008203]; chromatin remodeling [GO:0006338]; embryonic limb morphogenesis [GO:0030326]; endocrine pancreas development [GO:0031018]; fatty acid biosynthetic process [GO:0006633]; fatty acid transport [GO:0015908]; glucose homeostasis [GO:0042593]; glucose import [GO:0046323]; heme biosynthetic process [GO:0006783]; histone acetylation [GO:0016573]; insulin secretion [GO:0030073]; liver development [GO:0001889]; natural killer cell differentiation [GO:0001779]; negative regulation of transcription by RNA polymerase II [GO:0000122]; paraxial mesoderm formation [GO:0048341]; placenta development [GO:0001890]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; protein localization [GO:0008104]; regulation of hormone secretion [GO:0046883]; regulation of insulin secretion [GO:0050796]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of Wnt signaling pathway [GO:0030111]; renal glucose absorption [GO:0035623]; reproductive structure development [GO:0048608]; response to glucose [GO:0009749]; response to oxidative stress [GO:0006979]; reverse cholesterol transport [GO:0043691]; SMAD protein signal transduction [GO:0060395]; transcription by RNA polymerase II [GO:0006366]
Q80W03	reviewed	apoptotic process [GO:0006915]; calcium-mediated signaling [GO:0019722]; negative regulation of neuron apoptotic process [GO:0043524]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of apoptotic process [GO:0042981]
Q9JL10	reviewed	negative regulation of cell growth [GO:0030308]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]
E0CXP6	unreviewed	
Q8VD21	unreviewed	
Q9D1C8	reviewed	negative regulation of protein ubiquitination [GO:0031397]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of ubiquitin-dependent endocytosis [GO:2000397]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]
E9Q5M9	unreviewed	regulation of transcription, DNA-templated [GO:0006355]
S4R1L6	unreviewed	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]
E9Q7L6	unreviewed	skeletal muscle cell differentiation [GO:0035914]
O55144	reviewed	cell fate specification [GO:0001708]; central nervous system development [GO:0007417]; negative regulation of neuron differentiation [GO:0045665]; neuron differentiation [GO:0030182]; neuron fate specification [GO:0048665]; neuron migration [GO:0001764]; regulation of respiratory gaseous exchange by neurological system process [GO:0002087]; regulation of transcription, DNA-templated [GO:0006355]; respiratory gaseous exchange [GO:0007585]
Q07279	reviewed	cell-cell signaling [GO:0007267]; labyrinthine layer blood vessel development [GO:0060716]; negative regulation of bone mineralization [GO:0030502]; negative regulation of cell proliferation [GO:0008285]; negative regulation of syncytium formation by plasma membrane fusion [GO:0034242]; positive regulation of peptidyl-lysine acetylation [GO:2000758]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of gene expression [GO:0010468]; regulation of transcription by RNA polymerase II [GO:0006357]
E9QAP1	unreviewed	regulation of transcription, DNA-templated [GO:0006355]
P56477	reviewed	cytokine-mediated signaling pathway [GO:0019221]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; positive regulation of apoptotic process [GO:0043065]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to muramyl dipeptide [GO:0032495]; response to peptidoglycan [GO:0032494]
F8VQ05	unreviewed	cell morphogenesis [GO:0000902]; neuron projection development [GO:0031175]
P60335	reviewed	mRNA processing [GO:0006397]; positive regulation of transcription by RNA polymerase II [GO:0045944]; viral RNA genome replication [GO:0039694]
G3X8Y3	unreviewed	negative regulation of apoptotic process [GO:0043066]; N-terminal protein amino acid acetylation [GO:0006474]; positive regulation of transcription, DNA-templated [GO:0045893]; protein stabilization [GO:0050821]
Q61545	reviewed	regulation of transcription, DNA-templated [GO:0006355]
O08537	reviewed	behavioral fear response [GO:0001662]; brain development [GO:0007420]; cellular response to estradiol stimulus [GO:0071392]; epithelial cell maturation involved in prostate gland development [GO:0060743]; estrous cycle [GO:0044849]; hormone-mediated apoptotic signaling pathway [GO:0008628]; intracellular estrogen receptor signaling pathway [GO:0030520]; intracellular steroid hormone receptor signaling pathway [GO:0030518]; learning or memory [GO:0007611]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of behavior [GO:0048521]; negative regulation of cell death [GO:0060548]; negative regulation of cell proliferation [GO:0008285]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of feeding behavior [GO:2000252]; negative regulation of neuron death [GO:1901215]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron migration [GO:0001764]; ovarian follicle development [GO:0001541]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel diameter [GO:0097755]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; prostate gland epithelium morphogenesis [GO:0060740]; regulation of cell proliferation [GO:0042127]; regulation of neuron apoptotic process [GO:0043523]; response to testosterone [GO:0033574]; Sertoli cell proliferation [GO:0060011]; uterus development [GO:0060065]; vagina development [GO:0060068]
Q8VH51	reviewed	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; transcription, DNA-templated [GO:0006351]
O08609	reviewed	negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleocytoplasmic transport [GO:0006913]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]
Q2VPU4	reviewed	nucleocytoplasmic transport [GO:0006913]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of carbohydrate metabolic process by regulation of transcription from RNA polymerase II promoter [GO:1900402]; regulation of transcription by RNA polymerase II [GO:0006357]
O08674	reviewed	positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]
O08686	reviewed	animal organ development [GO:0048513]; cartilage condensation [GO:0001502]; myotube differentiation [GO:0014902]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; tissue development [GO:0009888]
P01101	reviewed	aging [GO:0007568]; cellular response to cadmium ion [GO:0071276]; cellular response to calcium ion [GO:0071277]; cellular response to extracellular stimulus [GO:0031668]; cellular response to hormone stimulus [GO:0032870]; cellular response to reactive oxygen species [GO:0034614]; conditioned taste aversion [GO:0001661]; female pregnancy [GO:0007565]; nervous system development [GO:0007399]; positive regulation of neuron death [GO:1901216]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; response to cAMP [GO:0051591]; response to cold [GO:0009409]; response to corticosterone [GO:0051412]; response to cytokine [GO:0034097]; response to drug [GO:0042493]; response to gravity [GO:0009629]; response to immobilization stress [GO:0035902]; response to light stimulus [GO:0009416]; response to lipopolysaccharide [GO:0032496]; response to muscle stretch [GO:0035994]; response to progesterone [GO:0032570]; response to toxic substance [GO:0009636]; skeletal muscle cell differentiation [GO:0035914]; sleep [GO:0030431]; SMAD protein signal transduction [GO:0060395]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]
P05627	reviewed	aging [GO:0007568]; angiogenesis [GO:0001525]; axon regeneration [GO:0031103]; cellular process [GO:0009987]; cellular response to cadmium ion [GO:0071276]; cellular response to calcium ion [GO:0071277]; cellular response to hormone stimulus [GO:0032870]; cellular response to potassium ion starvation [GO:0051365]; cellular response to reactive oxygen species [GO:0034614]; circadian rhythm [GO:0007623]; eyelid development in camera-type eye [GO:0061029]; leading edge cell differentiation [GO:0035026]; learning [GO:0007612]; liver development [GO:0001889]; membrane depolarization [GO:0051899]; microglial cell activation [GO:0001774]; monocyte differentiation [GO:0030224]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell proliferation [GO:0008285]; negative regulation of DNA binding [GO:0043392]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990441]; outflow tract morphogenesis [GO:0003151]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell proliferation [GO:0008284]; positive regulation of DNA replication [GO:0045740]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of monocyte differentiation [GO:0045657]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vascular smooth muscle cell proliferation [GO:1904707]; Ras protein signal transduction [GO:0007265]; regulation of cell cycle [GO:0051726]; regulation of transcription, DNA-templated [GO:0006355]; release of cytochrome c from mitochondria [GO:0001836]; response to cAMP [GO:0051591]; response to cytokine [GO:0034097]; response to drug [GO:0042493]; response to hydrogen peroxide [GO:0042542]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to muscle stretch [GO:0035994]; response to organic substance [GO:0010033]; response to radiation [GO:0009314]; SMAD protein signal transduction [GO:0060395]; transcription, DNA-templated [GO:0006351]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]
P16951	reviewed	adipose tissue development [GO:0060612]; amelogenesis [GO:0097186]; cellular response to DNA damage stimulus [GO:0006974]; fat cell differentiation [GO:0045444]; intra-S DNA damage checkpoint [GO:0031573]; negative regulation of angiogenesis [GO:0016525]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of transcription by RNA polymerase II [GO:0000122]; outflow tract morphogenesis [GO:0003151]; positive regulation of cardiac muscle myoblast proliferation [GO:0110024]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of gene expression [GO:0010628]; positive regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902110]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta2 production [GO:0032915]; regulation of transcription, DNA-templated [GO:0006355]; response to osmotic stress [GO:0006970]; response to water deprivation [GO:0009414]
Q01147	reviewed	aging [GO:0007568]; axonogenesis [GO:0007409]; cellular response to fatty acid [GO:0071398]; cellular response to growth factor stimulus [GO:0071363]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to insulin-like growth factor stimulus [GO:1990314]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to retinoic acid [GO:0071300]; cellular response to zinc ion [GO:0071294]; chemotaxis to arachidonic acid [GO:0034670]; circadian rhythm [GO:0007623]; lactation [GO:0007595]; lung epithelium development [GO:0060428]; lung saccule development [GO:0060430]; mammary gland development [GO:0030879]; memory [GO:0007613]; negative regulation of gene expression [GO:0010629]; negative regulation of neuron death [GO:1901215]; negative regulation of transcription by competitive promoter binding [GO:0010944]; pituitary gland development [GO:0021983]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cardiac muscle tissue development [GO:0055025]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of hormone secretion [GO:0046887]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta3 production [GO:0032916]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; regulation of apoptotic process [GO:0042981]; regulation of cell size [GO:0008361]; regulation of circadian rhythm [GO:0042752]; regulation of fibroblast proliferation [GO:0048145]; regulation of glial cell proliferation [GO:0060251]; regulation of transcription, DNA-templated [GO:0006355]; response to activity [GO:0014823]; response to drug [GO:0042493]; response to glucagon [GO:0033762]; response to hypoxia [GO:0001666]; response to L-glutamate [GO:1902065]; response to nicotine [GO:0035094]; response to organic substance [GO:0010033]; secretory granule organization [GO:0033363]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]; type I pneumocyte differentiation [GO:0060509]; visual learning [GO:0008542]
O08740	reviewed	transcription by RNA polymerase II [GO:0006366]
P97760	reviewed	transcription by RNA polymerase II [GO:0006366]
Q99NE9	reviewed	positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]
O08791	reviewed	multicellular organism development [GO:0007275]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]
Q8K4J2	reviewed	multicellular organism development [GO:0007275]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]
O08856	reviewed	in utero embryonic development [GO:0001701]; negative regulation of phosphatase activity [GO:0010923]; positive regulation of transcription by RNA polymerase III [GO:0045945]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; snRNA transcription by RNA polymerase II [GO:0042795]; snRNA transcription by RNA polymerase III [GO:0042796]; transcription elongation from RNA polymerase II promoter [GO:0006368]
Q920Q8	reviewed	negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of protein ubiquitination [GO:0031397]; response to virus [GO:0009615]; RNA splicing [GO:0008380]
O08915	reviewed	negative regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051344]; protein maturation by protein folding [GO:0022417]; protein targeting to mitochondrion [GO:0006626]; regulation of protein kinase A signaling [GO:0010738]; xenobiotic metabolic process [GO:0006805]
P30561	reviewed	B-1 B cell homeostasis [GO:0001922]; B cell differentiation [GO:0030183]; B cell homeostasis [GO:0001782]; blood circulation [GO:0008015]; blood vessel development [GO:0001568]; blood vessel morphogenesis [GO:0048514]; blood vessel remodeling [GO:0001974]; branching involved in blood vessel morphogenesis [GO:0001569]; camera-type eye development [GO:0043010]; cAMP-mediated signaling [GO:0019933]; cardiac left ventricle morphogenesis [GO:0003214]; cell cycle [GO:0007049]; cell morphogenesis [GO:0000902]; cellular response to 2,3,7,8-tetrachlorodibenzodioxine [GO:1904613]; cellular response to 3-methylcholanthrene [GO:1904682]; cellular response to cAMP [GO:0071320]; cellular response to forskolin [GO:1904322]; circadian regulation of gene expression [GO:0032922]; circumferential growth involved in left ventricle morphogenesis [GO:0003243]; common bile duct development [GO:0061009]; embryonic hemopoiesis [GO:0035162]; gland development [GO:0048732]; glomerulus morphogenesis [GO:0072102]; immune system process [GO:0002376]; kidney morphogenesis [GO:0060993]; liver development [GO:0001889]; lymphocyte homeostasis [GO:0002260]; negative regulation of necrotic cell death [GO:0060547]; negative regulation of systemic arterial blood pressure [GO:0003085]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vasoconstriction [GO:0045906]; ovarian follicle development [GO:0001541]; positive regulation of cell size [GO:0045793]; positive regulation of growth rate [GO:0040010]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of transcription, DNA-templated [GO:0045893]; post-embryonic hemopoiesis [GO:0035166]; prostate gland development [GO:0030850]; regulation of B cell proliferation [GO:0030888]; regulation of blood pressure [GO:0008217]; regulation of blood vessel size [GO:0050880]; regulation of gene expression [GO:0010468]; regulation of heart growth [GO:0060420]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; reproductive structure development [GO:0048608]; response to organic cyclic compound [GO:0014070]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; smooth muscle tissue development [GO:0048745]; spleen development [GO:0048536]; T cell homeostasis [GO:0043029]; transcription by RNA polymerase II [GO:0006366]; venous blood vessel development [GO:0060841]; xenobiotic metabolic process [GO:0006805]
