Entry	Status	Gene ontology (biological process)
P53983	reviewed	cellular response to amino acid stimulus [GO:0071230]; transcription factor catabolic process [GO:0036369]; ubiquitin-dependent protein catabolic process [GO:0006511]
O13297	reviewed	7-methylguanosine mRNA capping [GO:0006370]; polynucleotide 5' dephosphorylation [GO:0098507]; polynucleotide dephosphorylation [GO:0098501]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]
Q01159	reviewed	7-methylguanosine mRNA capping [GO:0006370]; positive regulation of transcription by RNA polymerase II [GO:0045944]; tRNA processing [GO:0008033]
O13329	reviewed	chromatin organization [GO:0006325]; chromatin silencing at rDNA [GO:0000183]; chromosome segregation [GO:0007059]; DNA recombination [GO:0006310]; dsDNA loop formation [GO:0090579]; extrachromosomal circular DNA accumulation involved in cell aging [GO:0007580]; maintenance of rDNA [GO:0043007]; negative regulation of DNA replication [GO:0008156]; positive regulation of DNA recombination [GO:0045911]; protein localization to nucleolar rDNA repeats [GO:0034503]; rDNA condensation [GO:0070550]; regulation of cell aging [GO:0090342]; replication fork arrest at rDNA repeats [GO:0031582]; replicative cell aging [GO:0001302]
P06843	reviewed	chromatin organization [GO:0006325]; histone exchange [GO:0043486]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of chromatin assembly [GO:0010847]; regulation of transcription, DNA-templated [GO:0006355]; RNA polyadenylation [GO:0043631]; transcription elongation from RNA polymerase II promoter [GO:0006368]
P17123	reviewed	meiosis I [GO:0007127]; mitotic cell cycle [GO:0000278]; positive regulation of exit from mitosis [GO:0031536]; regulation of exit from mitosis [GO:0007096]; sporulation resulting in formation of a cellular spore [GO:0030435]
P22216	reviewed	deoxyribonucleoside triphosphate biosynthetic process [GO:0009202]; DNA damage checkpoint [GO:0000077]; DNA repair [GO:0006281]; DNA replication initiation [GO:0006270]; mitotic DNA damage checkpoint [GO:0044773]; negative regulation of phosphorylation [GO:0042326]; nucleobase-containing compound metabolic process [GO:0006139]; protein localization [GO:0008104]; protein phosphorylation [GO:0006468]; signal transduction in response to DNA damage [GO:0042770]
P32605	reviewed	mRNA splicing, via spliceosome [GO:0000398]
P32902	reviewed	mitochondrial translation [GO:0032543]
P38633	reviewed	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; meiotic gene conversion [GO:0006311]; meiotic sister chromatid segregation [GO:0045144]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]
P38987	reviewed	cell division [GO:0051301]; establishment of mitotic spindle localization [GO:0040001]; exit from mitosis [GO:0010458]; intracellular protein transport [GO:0006886]; mitotic spindle orientation checkpoint [GO:0031578]; Rab protein signal transduction [GO:0032482]; regulation of protein localization to mitotic spindle pole body [GO:1902542]
P40089	reviewed	mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process [GO:0000956]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]
Q00916	reviewed	mRNA splicing, via spliceosome [GO:0000398]
Q03776	reviewed	mRNA 5'-splice site recognition [GO:0000395]; mRNA splicing, via spliceosome [GO:0000398]
Q12072	reviewed	chromatin remodeling [GO:0006338]
Q12457	reviewed	chromatin silencing at rDNA [GO:0000183]; negative regulation of extrachromosomal rDNA circle accumulation involved in replicative cell aging [GO:1900008]; termination of RNA polymerase I transcription [GO:0006363]
O13512	reviewed	
O13567	reviewed	
O13517	reviewed	
P40971	reviewed	lysine biosynthetic process [GO:0009085]; positive regulation of lysine biosynthetic process via alpha-aminoadipate and saccharopine [GO:2001196]; positive regulation of transcription by RNA polymerase II [GO:0045944]
O13518	reviewed	
P32841	reviewed	meiotic DNA double-strand break formation [GO:0042138]; reciprocal meiotic recombination [GO:0007131]
O13519	reviewed	
P19657	reviewed	proton export across plasma membrane [GO:0120029]; proton transmembrane transport [GO:1902600]; regulation of intracellular pH [GO:0051453]; regulation of pH [GO:0006885]
P38260	reviewed	cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; regulation of translation [GO:0006417]
O13527	reviewed	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]
P53550	reviewed	deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087]; mRNA processing [GO:0006397]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; stress granule assembly [GO:0034063]
O13530	reviewed	
P21825	reviewed	posttranslational protein targeting to membrane, translocation [GO:0031204]
P39534	reviewed	
O13531	reviewed	
P39940	reviewed	cellular response to UV [GO:0034644]; chromatin assembly or disassembly [GO:0006333]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; mitochondrion organization [GO:0007005]; poly(A)+ mRNA export from nucleus [GO:0016973]; positive regulation of endocytosis [GO:0045807]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; protein ubiquitination [GO:0016567]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of dolichol biosynthetic process [GO:0010794]; regulation of ergosterol biosynthetic process [GO:0032443]; regulation of initiation of mating projection growth [GO:0031384]; regulation of mRNA export from nucleus [GO:0010793]; regulation of multivesicular body size [GO:0010796]; regulation of nitrogen utilization [GO:0006808]; regulation of phosphate metabolic process [GO:0019220]; regulation of protein localization [GO:0032880]; regulation of ribosomal large subunit export from nucleus [GO:2000203]; regulation of rRNA processing [GO:2000232]; regulation of tRNA export from nucleus [GO:2000238]; regulation of tRNA processing [GO:2000235]; regulation of ubiquinone biosynthetic process [GO:0010795]; response to drug [GO:0042493]; ribophagy [GO:0034517]; ubiquitin-dependent endocytosis [GO:0070086]; ubiquitin-dependent protein catabolic process [GO:0006511]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]
P40568	reviewed	attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation [GO:0051455]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; mitotic sister chromatid segregation [GO:0000070]
P43582	reviewed	apoptotic process [GO:0006915]
Q02574	reviewed	chromatin silencing at telomere [GO:0006348]; DNA damage checkpoint [GO:0000077]; double-strand break repair via homologous recombination [GO:0000724]; intra-S DNA damage checkpoint [GO:0031573]; meiotic DNA integrity checkpoint [GO:0044778]; mitotic DNA replication checkpoint [GO:0033314]; nucleotide-excision repair [GO:0006289]; telomere maintenance via recombination [GO:0000722]
Q06525	reviewed	mRNA splicing, via spliceosome [GO:0000398]
O13532	reviewed	
P47128	reviewed	DNA repair [GO:0006281]; histone acetylation [GO:0016573]; histone H2A acetylation [GO:0043968]; histone H3-K14 acetylation [GO:0044154]; histone H3-K23 acetylation [GO:0043972]; histone H4-K12 acetylation [GO:0043983]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]
O13535	reviewed	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]
P36006	reviewed	actin cortical patch localization [GO:0051666]; bipolar cellular bud site selection [GO:0007121]; endocytosis [GO:0006897]; exocytosis [GO:0006887]; fungal-type cell wall organization [GO:0031505]; positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601]; response to osmotic stress [GO:0006970]
O13537	reviewed	
P03069	reviewed	cellular amino acid biosynthetic process [GO:0008652]; negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to nutrient levels [GO:0010691]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nitrogen catabolite activation of transcription from RNA polymerase II promoter [GO:0001080]; positive regulation of autophagy [GO:0010508]; positive regulation of cellular response to amino acid starvation [GO:1903833]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to nitrogen starvation [GO:0036278]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; response to organic substance [GO:0010033]
P53541	reviewed	ascospore-type prospore membrane assembly [GO:0032120]; glycerophospholipid catabolic process [GO:0046475]; spindle pole body duplication [GO:0030474]; spore membrane bending pathway [GO:0070583]
O13539	reviewed	DNA recombination [GO:0006310]; mRNA export from nucleus [GO:0006406]; stress granule assembly [GO:0034063]; telomere maintenance [GO:0000723]; transcription elongation from RNA polymerase II promoter [GO:0006368]
P33441	reviewed	DNA recombination [GO:0006310]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; stress granule assembly [GO:0034063]; transcription elongation from RNA polymerase II promoter [GO:0006368]
P40014	reviewed	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; microtubule nucleation [GO:0007020]
P47076	reviewed	termination of RNA polymerase III transcription [GO:0006386]; transcription initiation from RNA polymerase III promoter [GO:0006384]; tRNA transcription by RNA polymerase III [GO:0042797]
P53959	reviewed	intra-Golgi vesicle-mediated transport [GO:0006891]; protein localization by the Cvt pathway [GO:0032258]; protein transport [GO:0015031]
Q06410	reviewed	activation of protein kinase activity [GO:0032147]; autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; autophagy of peroxisome [GO:0030242]; late nucleophagy [GO:0044805]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of autophagosome size [GO:0045772]; protein localization to phagophore assembly site [GO:0034497]
Q08118	reviewed	
Q12124	reviewed	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA polymerase II preinitiation complex assembly [GO:0051123]
Q12262	reviewed	cell division [GO:0051301]; chromosome segregation [GO:0007059]; establishment of mitotic sister chromatid cohesion [GO:0034087]; meiotic cell cycle [GO:0051321]
O13540	reviewed	
P39547	reviewed	vesicle organization [GO:0016050]
O13543	reviewed	cellular respiration [GO:0045333]
P15380	reviewed	gamma-aminobutyric acid transport [GO:0015812]; neutral amino acid transport [GO:0015804]; proline transport [GO:0015824]
P29055	reviewed	positive regulation of transcription regulatory region DNA binding [GO:2000679]; regulation of transcription, DNA-templated [GO:0006355]; RNA polymerase II preinitiation complex assembly [GO:0051123]; transcriptional open complex formation at RNA polymerase II promoter [GO:0001113]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]
P32603	reviewed	ascospore formation [GO:0030437]; cellular glucan metabolic process [GO:0006073]; cell wall organization [GO:0071555]; glucan catabolic process [GO:0009251]
Q02630	reviewed	mRNA export from nucleus [GO:0006406]; nuclear pore organization [GO:0006999]; poly(A)+ mRNA export from nucleus [GO:0016973]; posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein import into nucleus [GO:0006606]; ribosomal large subunit export from nucleus [GO:0000055]; RNA export from nucleus [GO:0006405]; telomere tethering at nuclear periphery [GO:0034398]; tRNA export from nucleus [GO:0006409]
O13545	reviewed	
P37264	reviewed	
O13547	reviewed	fungal-type cell wall organization [GO:0031505]
Q03761	reviewed	chromatin organization [GO:0006325]; histone acetylation [GO:0016573]; histone H3 acetylation [GO:0043966]; RNA polymerase II preinitiation complex assembly [GO:0051123]; transcription by RNA polymerase II [GO:0006366]
Q08271	reviewed	ascospore wall assembly [GO:0030476]; fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process [GO:0071970]; fungal-type cell wall organization [GO:0031505]
Q12380	reviewed	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; cellular response to nitrogen starvation [GO:0006995]; C-terminal protein lipidation [GO:0006501]; late nucleophagy [GO:0044805]; macroautophagy [GO:0016236]; piecemeal microautophagy of the nucleus [GO:0034727]; protein localization by the Cvt pathway [GO:0032258]; protein transport [GO:0015031]
O13548	reviewed	
Q01846	reviewed	mitochondrion inheritance [GO:0000001]; nucleus inheritance [GO:0048310]; vacuole-ER tethering [GO:1990854]
O13549	reviewed	
P16467	reviewed	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway [GO:0000949]; branched-chain amino acid catabolic process [GO:0009083]; ethanol metabolic process [GO:0006067]; glycolytic fermentation to ethanol [GO:0019655]; L-phenylalanine catabolic process [GO:0006559]; pyruvate metabolic process [GO:0006090]; tryptophan catabolic process [GO:0006569]
P47821	reviewed	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901409]; positive regulation of transcription by galactose [GO:0000411]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle [GO:0010673]
O13550	reviewed	
P22696	reviewed	histone H3-K4 trimethylation [GO:0080182]; negative regulation of histone deacetylation [GO:0031064]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; positive regulation of chromatin silencing at rDNA [GO:2000749]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein peptidyl-prolyl isomerization [GO:0000413]; regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901407]; termination of RNA polymerase II transcription [GO:0006369]
P33203	reviewed	mRNA splicing, via spliceosome [GO:0000398]
P40070	reviewed	cytoplasmic mRNA processing body assembly [GO:0033962]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process [GO:0000956]; rRNA processing [GO:0006364]; spliceosomal snRNP assembly [GO:0000387]; tRNA processing [GO:0008033]
P46995	reviewed	ascospore formation [GO:0030437]; DNA-templated transcription, elongation [GO:0006354]; DNA-templated transcription, termination [GO:0006353]; histone deacetylation [GO:0016575]; histone methylation [GO:0016571]; negative regulation of antisense RNA transcription [GO:0060195]; negative regulation of histone H3-K14 acetylation [GO:0071441]; negative regulation of histone H3-K9 acetylation [GO:2000616]; negative regulation of reciprocal meiotic recombination [GO:0045128]; positive regulation of histone acetylation [GO:0035066]; regulation of DNA-dependent DNA replication initiation [GO:0030174]; regulation of histone exchange [GO:1900049]; regulation of transcription, DNA-templated [GO:0006355]
P47093	reviewed	mRNA splicing, via spliceosome [GO:0000398]; RNA metabolic process [GO:0016070]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]
P47135	reviewed	cellular protein-containing complex localization [GO:0034629]; establishment of mitochondrion localization [GO:0051654]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]
O13553	reviewed	
P53910	reviewed	
O13554	reviewed	
P38177	reviewed	
P40465	reviewed	DNA recombinase assembly [GO:0000730]; error-free translesion synthesis [GO:0070987]; maintenance of rDNA [GO:0043007]; meiotic chromosome segregation [GO:0045132]; recombinational repair [GO:0000725]
O13555	reviewed	
P32569	reviewed	positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription initiation from RNA polymerase II promoter [GO:0006367]
O13556	reviewed	
P15938	reviewed	generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA splicing, via spliceosome [GO:0000398]; RNA exon ligation [GO:0000378]
O13558	reviewed	
P15274	reviewed	guanine salvage [GO:0006178]; IMP salvage [GO:0032264]; purine nucleotide metabolic process [GO:0006163]
P32366	reviewed	ATP hydrolysis coupled proton transport [GO:0015991]; vacuolar acidification [GO:0007035]; vacuolar transport [GO:0007034]
Q12346	reviewed	
O13559	reviewed	telomere maintenance via recombination [GO:0000722]
P40029	reviewed	cellular response to oxidative stress [GO:0034599]
Q03407	reviewed	cell wall integrity MAPK cascade [GO:0000196]; endocytosis [GO:0006897]; intracellular signal transduction [GO:0035556]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060211]
O13561	reviewed	
P38041	reviewed	budding cell apical bud growth [GO:0007118]; septum digestion after cytokinesis [GO:0000920]
O13562	reviewed	
Q06598	reviewed	antimonite transport [GO:0015699]; arsenite transport [GO:0015700]; response to arsenic-containing substance [GO:0046685]
O13563	reviewed	ubiquitin-dependent protein catabolic process [GO:0006511]
P32565	reviewed	proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]
O13564	reviewed	
Q12280	reviewed	mitotic actomyosin contractile ring assembly actin filament organization [GO:1903479]; mitotic actomyosin contractile ring contraction [GO:1902404]; regulation of GTPase activity [GO:0043087]; signal transduction [GO:0007165]
O13565	reviewed	
P14908	reviewed	transcription initiation from mitochondrial promoter [GO:0006391]
P34166	reviewed	pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]
O13566	reviewed	
Q03083	reviewed	
P23639	reviewed	proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
P36224	reviewed	establishment of mitotic spindle orientation [GO:0000132]; mitotic spindle organization [GO:0007052]; nuclear migration [GO:0007097]
P40054	reviewed	L-serine biosynthetic process [GO:0006564]; serine family amino acid biosynthetic process [GO:0009070]
O13568	reviewed	
O13569	reviewed	
O13573	reviewed	
O13574	reviewed	
P38342	reviewed	3-keto-sphinganine metabolic process [GO:0006666]; sphingolipid biosynthetic process [GO:0030148]
O13575	reviewed	
O13576	reviewed	
Q07990	reviewed	
O13577	reviewed	cellular protein localization [GO:0034613]; regulation of ribonucleoside-diphosphate reductase activity [GO:1905117]
P40573	reviewed	cysteine biosynthetic process [GO:0019344]; methionine biosynthetic process [GO:0009086]; positive regulation of transcription regulatory region DNA binding [GO:2000679]; regulation of sulfur amino acid metabolic process [GO:0031335]; regulation of transcription by RNA polymerase II [GO:0006357]
Q06224	reviewed	mRNA 3'-end processing by stem-loop binding and cleavage [GO:0006398]; mRNA polyadenylation [GO:0006378]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; RNA splicing [GO:0008380]; snoRNA 3'-end processing [GO:0031126]; snoRNA splicing [GO:0034247]; termination of RNA polymerase II transcription [GO:0006369]
O13578	reviewed	
P43539	reviewed	
O13579	reviewed	
O13582	reviewed	
P25344	reviewed	cell cycle arrest [GO:0007050]; cellular response to heat [GO:0034605]; osmosensory signaling MAPK cascade [GO:0000161]; osmosensory signaling pathway via Sho1 osmosensor [GO:0007232]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; signal transduction involved in filamentous growth [GO:0001402]
O13583	reviewed	
Q12300	reviewed	detection of glucose [GO:0051594]; glucose mediated signaling pathway [GO:0010255]; hexose transmembrane transport [GO:0008645]
O13585	reviewed	
P02829	reviewed	'de novo' protein folding [GO:0006458]; box C/D snoRNP assembly [GO:0000492]; positive regulation of telomere maintenance via telomerase [GO:0032212]; proteasome assembly [GO:0043248]; protein maturation [GO:0051604]; protein refolding [GO:0042026]; protein targeting to mitochondrion [GO:0006626]; regulation of telomere maintenance [GO:0032204]; response to osmotic stress [GO:0006970]
O13587	reviewed	
P18899	reviewed	DNA repair [GO:0006281]
O13588	reviewed	
Q05080	reviewed	anchoring of the mitotic actomyosin contractile ring to the plasma membrane [GO:1903474]; division septum assembly [GO:0000917]; mitotic actomyosin contractile ring assembly [GO:1903475]; mitotic cytokinesis [GO:0000281]; negative regulation of formin-nucleated actin cable assembly [GO:0090339]; primary cell septum biogenesis [GO:0031671]; protein localization to cell division site involved in mitotic actomyosin contractile ring assembly [GO:1903476]
O14455	reviewed	cytoplasmic translation [GO:0002181]
P38203	reviewed	mRNA splicing, via spliceosome [GO:0000398]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]
Q06449	reviewed	negative regulation of Arp2/3 complex-mediated actin nucleation [GO:0034316]
Q12306	reviewed	protein sumoylation [GO:0016925]
O14467	reviewed	positive regulation of transcription by RNA polymerase II [GO:0045944]
P40537	reviewed	chromosome condensation [GO:0030261]; mitotic spindle assembly checkpoint [GO:0007094]; plasmid maintenance [GO:0006276]; protein desumoylation [GO:0016926]
O14468	reviewed	actin filament bundle assembly [GO:0051017]
P11709	reviewed	2-micrometer plasmid partitioning [GO:0030543]; cell division [GO:0051301]; karyogamy involved in conjugation with cellular fusion [GO:0000742]; mitotic spindle elongation [GO:0000022]; negative regulation of microtubule polymerization [GO:0031115]; nuclear migration involved in conjugation with cellular fusion [GO:0000743]
P16649	reviewed	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose [GO:0000433]; histone exchange [GO:0043486]; negative regulation of dipeptide transport by negative regulation of transcription from RNA polymerase II promoter [GO:0035955]; negative regulation of mating-type specific transcription from RNA polymerase II promoter [GO:0001198]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleosome positioning [GO:0016584]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of fatty acid biosynthetic process by regulation of transcription from RNA polymerase II promoter [GO:2000531]; regulation of invasive growth in response to glucose limitation [GO:2000217]; regulation of response to DNA damage stimulus [GO:2001020]
P21705	reviewed	allantoin catabolic process [GO:0000256]; nitrogen catabolite activation of transcription from RNA polymerase II promoter [GO:0001080]
P32364	reviewed	microtubule-based movement [GO:0007018]; vesicle docking involved in exocytosis [GO:0006904]
P32448	reviewed	chromatin silencing at silent mating-type cassette [GO:0030466]
P32457	reviewed	cilium assembly [GO:0060271]; maintenance of cell polarity [GO:0030011]; mitotic cytokinesis [GO:0000281]; septin ring assembly [GO:0000921]; septin ring disassembly [GO:0031107]
P36022	reviewed	cytoplasmic microtubule organization [GO:0031122]; establishment of mitotic spindle localization [GO:0040001]; establishment of mitotic spindle orientation [GO:0000132]; karyogamy [GO:0000741]; microtubule-based movement [GO:0007018]; minus-end-directed vesicle transport along microtubule [GO:0072382]; mitotic sister chromatid segregation [GO:0000070]; nuclear migration along microtubule [GO:0030473]
P38236	reviewed	meiotic cell cycle [GO:0051321]; mRNA methylation [GO:0080009]; negative regulation of pseudohyphal growth [GO:2000221]; premeiotic DNA replication [GO:0006279]; sporulation resulting in formation of a cellular spore [GO:0030435]
P46677	reviewed	positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA polymerase II preinitiation complex assembly [GO:0051123]; transcription by RNA polymerase II [GO:0006366]
P47124	reviewed	cell wall mannoprotein biosynthetic process [GO:0000032]; N-glycan processing [GO:0006491]; substituted mannan metabolic process [GO:0006080]
P53148	reviewed	microtubule nucleation [GO:0007020]; mitotic sister chromatid biorientation [GO:1990758]; mitotic spindle assembly checkpoint [GO:0007094]; protein localization to kinetochore [GO:0034501]; sister chromatid biorientation [GO:0031134]
P60010	reviewed	actomyosin contractile ring contraction [GO:0000916]; ascospore wall assembly [GO:0030476]; budding cell isotropic bud growth [GO:0007119]; cellular response to oxidative stress [GO:0034599]; chronological cell aging [GO:0001300]; DNA repair [GO:0006281]; endocytosis [GO:0006897]; establishment of cell polarity [GO:0030010]; establishment of mitotic spindle orientation [GO:0000132]; exocytosis [GO:0006887]; fungal-type cell wall organization [GO:0031505]; histone acetylation [GO:0016573]; mitochondrion inheritance [GO:0000001]; protein secretion [GO:0009306]; vacuole inheritance [GO:0000011]; vesicle transport along actin filament [GO:0030050]
Q00402	reviewed	cortical protein anchoring [GO:0032065]; dynein-driven meiotic oscillatory nuclear movement [GO:0030989]; microtubule cytoskeleton organization [GO:0000226]; mitochondrial fission [GO:0000266]; mitochondrion inheritance [GO:0000001]; mitochondrion localization [GO:0051646]; nuclear migration along microtubule [GO:0030473]
Q07732	reviewed	ascospore-type prospore membrane assembly [GO:0032120]; ascospore wall assembly [GO:0030476]; cell division [GO:0051301]; mitochondrion inheritance [GO:0000001]; sporulation resulting in formation of a cellular spore [GO:0030435]
Q08550	reviewed	ascospore-type prospore membrane assembly [GO:0032120]; cell division [GO:0051301]; vesicle docking [GO:0048278]
Q12080	reviewed	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]; rRNA processing [GO:0006364]
Q12411	reviewed	ascospore-type prospore membrane assembly [GO:0032120]; cell division [GO:0051301]; meiotic cell cycle [GO:0051321]
O94084	reviewed	
P28004	reviewed	generation of catalytic spliceosome for second transesterification step [GO:0000350]
P38166	reviewed	protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]
O94085	reviewed	
