Entry	Status	Gene ontology (cellular component)
P39940	reviewed	actin cortical patch [GO:0030479]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; endosome membrane [GO:0010008]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]
P40568	reviewed	condensed nuclear chromosome inner kinetochore [GO:0000941]; kinetochore [GO:0000776]; nuclear MIS12/MIND complex [GO:0000818]; spindle pole [GO:0000922]
P43582	reviewed	mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q02574	reviewed	checkpoint clamp complex [GO:0030896]; chromosome, telomeric region [GO:0000781]; site of double-strand break [GO:0035861]
Q06525	reviewed	U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
O13532	reviewed	
P47128	reviewed	MOZ/MORF histone acetyltransferase complex [GO:0070776]; NuA3a histone acetyltransferase complex [GO:1990467]; NuA3b histone acetyltransferase complex [GO:1990468]; NuA3 histone acetyltransferase complex [GO:0033100]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleolus [GO:0005730]
O13535	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P36006	reviewed	actin cortical patch [GO:0030479]; myosin complex [GO:0016459]
O13537	reviewed	integral component of membrane [GO:0016021]
P03069	reviewed	nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]
P53541	reviewed	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; prospore membrane [GO:0005628]
O13539	reviewed	nucleoplasmic THO complex [GO:0000446]; THO complex part of transcription export complex [GO:0000445]
P33441	reviewed	chromosome, telomeric region [GO:0000781]; nucleoplasmic THO complex [GO:0000446]; THO complex part of transcription export complex [GO:0000445]
P40014	reviewed	condensed nuclear chromosome, centromeric region [GO:0000780]; condensed nuclear chromosome kinetochore [GO:0000778]; Ndc80 complex [GO:0031262]
P47076	reviewed	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase III complex [GO:0005666]
P53959	reviewed	Golgi membrane [GO:0000139]; Golgi transport complex [GO:0017119]
Q06410	reviewed	Atg1/ULK1 kinase complex [GO:1990316]; cytoplasm [GO:0005737]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; vacuole-isolation membrane contact site [GO:0120095]
Q08118	reviewed	
Q12124	reviewed	core mediator complex [GO:0070847]; cytosol [GO:0005829]; mediator complex [GO:0016592]; nucleus [GO:0005634]
Q12262	reviewed	condensed nuclear chromosome kinetochore [GO:0000778]
O13540	reviewed	integral component of membrane [GO:0016021]
P39547	reviewed	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]
O13543	reviewed	integral component of membrane [GO:0016021]
P15380	reviewed	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P29055	reviewed	nucleus [GO:0005634]; transcriptional preinitiation complex [GO:0097550]
P32603	reviewed	ascospore wall [GO:0005619]; cell surface [GO:0009986]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q02630	reviewed	nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore central transport channel [GO:0044613]; nuclear pore cytoplasmic filaments [GO:0044614]
O13545	reviewed	integral component of membrane [GO:0016021]
P37264	reviewed	integral component of membrane [GO:0016021]
O13547	reviewed	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q03761	reviewed	SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]; transcription factor TFIID complex [GO:0005669]
Q08271	reviewed	anchored component of membrane [GO:0031225]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]
Q12380	reviewed	Atg12-Atg5-Atg16 complex [GO:0034274]; autophagosome [GO:0005776]; cytosol [GO:0005829]; membrane [GO:0016020]; phagophore [GO:0061908]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; vacuole-isolation membrane contact site [GO:0120095]
O13548	reviewed	
Q01846	reviewed	cytoplasm [GO:0005737]; nucleus-vacuole junction [GO:0071561]
O13549	reviewed	
P16467	reviewed	cytosol [GO:0005829]; intracellular [GO:0005622]; nucleus [GO:0005634]
P47821	reviewed	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; mediator complex [GO:0016592]; nucleus [GO:0005634]
O13550	reviewed	integral component of membrane [GO:0016021]
P22696	reviewed	cytosol [GO:0005829]; nucleus [GO:0005634]
P33203	reviewed	nucleus [GO:0005634]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
P40070	reviewed	Lsm1-7-Pat1 complex [GO:1990726]; nucleolus [GO:0005730]; P-body [GO:0000932]; small nucleolar ribonucleoprotein complex [GO:0005732]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]
P46995	reviewed	chromosome [GO:0005694]; cytosol [GO:0005829]; nucleus [GO:0005634]
P47093	reviewed	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]
P47135	reviewed	cytoplasm [GO:0005737]; cytoplasmic side of mitochondrial outer membrane [GO:0032473]; fungal-type cell wall [GO:0009277]
O13553	reviewed	
P53910	reviewed	
O13554	reviewed	integral component of membrane [GO:0016021]
P38177	reviewed	
P40465	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]; Shu complex [GO:0097196]; site of double-strand break [GO:0035861]
O13555	reviewed	
P32569	reviewed	core mediator complex [GO:0070847]; mediator complex [GO:0016592]
O13556	reviewed	
P15938	reviewed	U2-type catalytic step 2 spliceosome [GO:0071007]
O13558	reviewed	
P15274	reviewed	
P32366	reviewed	fungal-type vacuole membrane [GO:0000329]; vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]
Q12346	reviewed	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
O13559	reviewed	nucleus [GO:0005634]
P40029	reviewed	cytoplasm [GO:0005737]
Q03407	reviewed	cell cortex [GO:0005938]; cytosol [GO:0005829]
O13561	reviewed	integral component of membrane [GO:0016021]
P38041	reviewed	cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; site of polarized growth [GO:0030427]
O13562	reviewed	integral component of membrane [GO:0016021]
Q06598	reviewed	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O13563	reviewed	nucleus [GO:0005634]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]
P32565	reviewed	nucleus [GO:0005634]; proteasome regulatory particle, base subcomplex [GO:0008540]; proteasome storage granule [GO:0034515]
O13564	reviewed	
Q12280	reviewed	cellular bud neck contractile ring [GO:0000142]
O13565	reviewed	
P14908	reviewed	mitochondrial DNA-directed RNA polymerase complex [GO:0034245]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]
P34166	reviewed	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
O13566	reviewed	integral component of membrane [GO:0016021]
Q03083	reviewed	
P23639	reviewed	cytoplasm [GO:0005737]; nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]; proteasome storage granule [GO:0034515]
P36224	reviewed	cytoplasm [GO:0005737]; dynactin complex [GO:0005869]; dynein complex [GO:0030286]; microtubule [GO:0005874]
P40054	reviewed	
O13568	reviewed	integral component of membrane [GO:0016021]
O13569	reviewed	
O13573	reviewed	
O13574	reviewed	
P38342	reviewed	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; lipid droplet [GO:0005811]
O13575	reviewed	
O13576	reviewed	
Q07990	reviewed	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
O13577	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40573	reviewed	Cbf1-Met4-Met28 complex [GO:0089713]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q06224	reviewed	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; mRNA cleavage factor complex [GO:0005849]
O13578	reviewed	mitochondrion [GO:0005739]
P43539	reviewed	
O13579	reviewed	integral component of membrane [GO:0016021]
O13582	reviewed	
P25344	reviewed	cytoplasm [GO:0005737]
O13583	reviewed	integral component of membrane [GO:0016021]
Q12300	reviewed	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]
O13585	reviewed	Golgi apparatus [GO:0005794]
P02829	reviewed	cytoplasm [GO:0005737]
O13587	reviewed	
P18899	reviewed	
O13588	reviewed	
Q05080	reviewed	actomyosin contractile ring [GO:0005826]; actomyosin contractile ring, proximal layer [GO:0120104]; anchored component of the cytoplasmic side of the plasma membrane [GO:0098753]; cell division site [GO:0032153]; cellular bud neck [GO:0005935]; cellular bud neck contractile ring [GO:0000142]; cellular bud neck septin ring [GO:0000144]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; HICS complex [GO:0044697]; plasma membrane [GO:0005886]
O14455	reviewed	cytosolic large ribosomal subunit [GO:0022625]
P38203	reviewed	catalytic step 2 spliceosome [GO:0071013]; Lsm1-7-Pat1 complex [GO:1990726]; nucleolus [GO:0005730]; P-body [GO:0000932]; small nucleolar ribonucleoprotein complex [GO:0005732]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]
Q06449	reviewed	actin cortical patch [GO:0030479]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12306	reviewed	condensed nuclear chromosome [GO:0000794]; nucleus [GO:0005634]; septin ring [GO:0005940]
O14467	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40537	reviewed	nucleus [GO:0005634]
O14468	reviewed	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]
P11709	reviewed	cell cortex [GO:0005938]; condensed nuclear chromosome kinetochore [GO:0000778]; kinetochore [GO:0000776]; mating projection tip [GO:0043332]; microtubule plus-end [GO:0035371]; spindle [GO:0005819]; spindle microtubule [GO:0005876]; spindle pole body [GO:0005816]
P16649	reviewed	nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053]
P21705	reviewed	nucleus [GO:0005634]
P32364	reviewed	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; kinesin complex [GO:0005871]; mating projection tip [GO:0043332]; microtubule [GO:0005874]
P32448	reviewed	nuclear chromosome, telomeric region [GO:0000784]; nucleus [GO:0005634]
P32457	reviewed	ascospore wall [GO:0005619]; cellular bud neck septin ring [GO:0000144]; mating projection base [GO:0001400]; microtubule cytoskeleton [GO:0015630]; prospore membrane [GO:0005628]; septin complex [GO:0031105]; septin filament array [GO:0032160]; septin ring [GO:0005940]
P36022	reviewed	astral microtubule [GO:0000235]; cell cortex [GO:0005938]; cytoplasmic dynein complex [GO:0005868]; cytoplasmic microtubule [GO:0005881]; dynein complex [GO:0030286]; spindle pole body [GO:0005816]
P38236	reviewed	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; RNA N6-methyladenosine methyltransferase complex [GO:0036396]
P46677	reviewed	cytosol [GO:0005829]; nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]
P47124	reviewed	alpha-1,6-mannosyltransferase complex [GO:0000136]
P53148	reviewed	condensed nuclear chromosome inner kinetochore [GO:0000941]; condensed nuclear chromosome kinetochore [GO:0000778]; cytoplasm [GO:0005737]; NMS complex [GO:0031617]; nuclear membrane [GO:0031965]; spindle pole body [GO:0005816]
P60010	reviewed	actin cortical patch [GO:0030479]; actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cellular bud neck contractile ring [GO:0000142]; Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; Swr1 complex [GO:0000812]
Q00402	reviewed	cell cortex [GO:0005938]; cellular bud tip [GO:0005934]; endoplasmic reticulum [GO:0005783]
Q07732	reviewed	cytoplasm [GO:0005737]; prospore membrane [GO:0005628]; prospore membrane leading edge [GO:0070056]; spindle pole body [GO:0005816]
Q08550	reviewed	cytoplasm [GO:0005737]; meiotic spindle pole body [GO:0035974]; prospore membrane [GO:0005628]; spindle pole [GO:0000922]
Q12080	reviewed	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q12411	reviewed	cytoplasm [GO:0005737]; meiotic spindle pole body [GO:0035974]; prospore membrane [GO:0005628]; spindle pole [GO:0000922]
O94084	reviewed	integral component of membrane [GO:0016021]
P28004	reviewed	nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; U2-type catalytic step 1 spliceosome [GO:0071006]; U2-type catalytic step 2 spliceosome [GO:0071007]
P38166	reviewed	cytosol [GO:0005829]; Golgi membrane [GO:0000139]; Golgi trans cisterna [GO:0000138]; integral component of membrane [GO:0016021]
O94085	reviewed	integral component of membrane [GO:0016021]
P25627	reviewed	cytoplasm [GO:0005737]; nucleolus [GO:0005730]
P43558	reviewed	cytosol [GO:0005829]; nucleus [GO:0005634]
P43560	reviewed	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; Mitochondria-associated ER Membrane [GO:0044233]; nucleus-vacuole junction [GO:0071561]
P53427	reviewed	fungal-type cell wall [GO:0009277]; integral component of membrane [GO:0016021]
O94086	reviewed	
P43562	reviewed	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]
O94742	reviewed	cytosol [GO:0005829]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]; transcription export complex 2 [GO:0070390]
P38009	reviewed	cytosol [GO:0005829]
P47130	reviewed	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; transcription export complex 2 [GO:0070390]
P00044	reviewed	mitochondrial intermembrane space [GO:0005758]; respiratory chain [GO:0070469]
P38810	reviewed	COPII vesicle coat [GO:0030127]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]
P53823	reviewed	cytosol [GO:0005829]; glutaminase complex [GO:1903600]
P00045	reviewed	mitochondrial intermembrane space [GO:0005758]; respiratory chain [GO:0070469]
P20447	reviewed	nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]
P23202	reviewed	cytoplasm [GO:0005737]
P38881	reviewed	integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; nuclear outer membrane [GO:0005640]; nucleus-vacuole junction [GO:0071561]
P00127	reviewed	mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex III [GO:0005750]; nuclear periphery [GO:0034399]
P32259	reviewed	core mediator complex [GO:0070847]; mediator complex [GO:0016592]
P00128	reviewed	mitochondrial respiratory chain complex III [GO:0005750]
P38822	reviewed	actin cortical patch [GO:0030479]; plasma membrane [GO:0005886]
P39742	reviewed	Sec62/Sec63 complex [GO:0031207]
P53168	reviewed	cytoplasm [GO:0005737]; DASH complex [GO:0042729]; microtubule [GO:0005874]; mitotic spindle [GO:0072686]; spindle pole [GO:0000922]
P00330	reviewed	cytoplasm [GO:0005737]
P34230	reviewed	integral component of peroxisomal membrane [GO:0005779]; peroxisome [GO:0005777]
P39109	reviewed	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; vacuolar membrane [GO:0005774]
P00331	reviewed	cytoplasm [GO:0005737]
P40318	reviewed	Doa10p ubiquitin ligase complex [GO:0000837]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; nuclear inner membrane [GO:0005637]
P00358	reviewed	cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]
Q02724	reviewed	nuclear envelope [GO:0005635]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q02821	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; NLS-dependent protein nuclear import complex [GO:0042564]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]
Q04978	reviewed	
Q12349	reviewed	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]
P00359	reviewed	cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]
Q04439	reviewed	actin cortical patch [GO:0030479]; myosin complex [GO:0016459]
P00360	reviewed	cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]
P00425	reviewed	mitochondrial respiratory chain complex IV [GO:0005751]
P38745	reviewed	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]
P38907	reviewed	condensed nuclear chromosome outer kinetochore [GO:0000942]
P00431	reviewed	chloroplast [GO:0009507]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]
P25354	reviewed	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q12230	reviewed	eisosome [GO:0032126]; eisosome filament [GO:0036286]; plasma membrane [GO:0005886]
P00445	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]
P00447	reviewed	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P23337	reviewed	cytoplasm [GO:0005737]
P38238	reviewed	cytoplasm [GO:0005737]
P48564	reviewed	mitochondrion [GO:0005739]
Q03370	reviewed	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]
P00546	reviewed	cellular bud neck [GO:0005935]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]
P07866	reviewed	cellular bud [GO:0005933]; cytoplasm [GO:0005737]
P08153	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P09959	reviewed	cytoplasm [GO:0005737]; MBF transcription complex [GO:0030907]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; SBF transcription complex [GO:0033309]
P0CX14	reviewed	nucleus [GO:0005634]
P0CX15	reviewed	
P11710	reviewed	cell cortex [GO:0005938]; integral component of plasma membrane [GO:0005887]; mating projection tip [GO:0043332]
P11927	reviewed	half bridge of spindle pole body [GO:0005825]; microtubule [GO:0005874]
P11978	reviewed	chromatin silencing complex [GO:0005677]; chromosome, subtelomeric region [GO:0099115]; nuclear chromosome, telomeric region [GO:0000784]; nuclear telomeric heterochromatin [GO:0005724]
P12611	reviewed	nucleus [GO:0005634]; phosphatase complex [GO:1903293]
P12954	reviewed	nucleus [GO:0005634]
P13186	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P13365	reviewed	centrosome [GO:0005813]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P13382	reviewed	alpha DNA polymerase:primase complex [GO:0005658]; replication fork [GO:0005657]
P14180	reviewed	cell septum [GO:0030428]; cellular bud neck [GO:0005935]; integral component of membrane [GO:0016021]
P14737	reviewed	chromatin [GO:0000785]; nucleus [GO:0005634]
P17119	reviewed	cytoplasmic microtubule [GO:0005881]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; nucleus [GO:0005634]; spindle pole body [GO:0005816]
P17121	reviewed	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]
P20437	reviewed	centrosome [GO:0005813]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P20486	reviewed	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; SCF ubiquitin ligase complex [GO:0019005]
P20676	reviewed	nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore central transport channel [GO:0044613]; nuclear pore nuclear basket [GO:0044615]
P21192	reviewed	cytosol [GO:0005829]; nucleus [GO:0005634]
P21268	reviewed	cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; nucleus [GO:0005634]
P21339	reviewed	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]
P21657	reviewed	nucleus [GO:0005634]
P21827	reviewed	nuclear chromatin [GO:0000790]; nucleus [GO:0005634]
P22204	reviewed	cellular bud neck [GO:0005935]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole body [GO:0005816]
P22768	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P23179	reviewed	nuclear chromosome [GO:0000228]; nucleoplasm [GO:0005654]
P23201	reviewed	actomyosin contractile ring [GO:0005826]; cell cortex [GO:0005938]; cell cortex of growing cell tip [GO:1902716]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; polarisome [GO:0000133]
P23748	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P24279	reviewed	chromosome, telomeric region [GO:0000781]; CMG complex [GO:0071162]; cytoplasm [GO:0005737]; DNA replication preinitiation complex [GO:0031261]; MCM complex [GO:0042555]; nuclear pre-replicative complex [GO:0005656]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]
P24482	reviewed	cytoplasm [GO:0005737]; epsilon DNA polymerase complex [GO:0008622]; nucleus [GO:0005634]
P24583	reviewed	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]; site of polarized growth [GO:0030427]
P24870	reviewed	centrosome [GO:0005813]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P24871	reviewed	centrosome [GO:0005813]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P25364	reviewed	cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]
P25558	reviewed	cellular bud neck [GO:0005935]; cellular bud neck contractile ring [GO:0000142]
P25579	reviewed	cellular bud neck [GO:0005935]
P26309	reviewed	anaphase-promoting complex [GO:0005680]; mitotic checkpoint complex [GO:0033597]; nuclear periphery [GO:0034399]
P26798	reviewed	nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]
P28006	reviewed	protein phosphatase type 1 complex [GO:0000164]
P28708	reviewed	cytoplasm [GO:0005737]
P28743	reviewed	cortical microtubule plus-end [GO:1903754]; cytoplasmic microtubule [GO:0005881]; kinesin complex [GO:0005871]; microtubule [GO:0005874]
P29366	reviewed	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; incipient cellular bud site [GO:0000131]; site of polarized growth [GO:0030427]
