Entry	Status	Gene ontology (biological process)
Q9U9Y8	reviewed	anatomical structure morphogenesis [GO:0009653]; asymmetric cell division [GO:0008356]; asymmetric protein localization involved in cell fate determination [GO:0045167]; canonical Wnt signaling pathway [GO:0060070]; embryo development ending in birth or egg hatching [GO:0009792]; endodermal cell fate specification [GO:0001714]; endoderm development [GO:0007492]; intracellular signal transduction [GO:0035556]; muscle cell fate specification [GO:0042694]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; polarity specification of proximal/distal axis [GO:0010085]; protein phosphorylation [GO:0006468]; regulation of gene expression [GO:0010468]; Wnt signaling pathway [GO:0016055]
A5JYT7	unreviewed	
G5EE56	reviewed	anterior/posterior axis specification, embryo [GO:0008595]; cell differentiation [GO:0030154]; commissural neuron axon guidance [GO:0071679]; embryo development ending in birth or egg hatching [GO:0009792]; embryonic digestive tract morphogenesis [GO:0048557]; endodermal cell fate specification [GO:0001714]; establishment of mitotic spindle orientation [GO:0000132]; gonad morphogenesis [GO:0035262]; left/right axis specification [GO:0070986]; peptidyl-tyrosine autophosphorylation [GO:0038083]; positive regulation of embryonic development [GO:0040019]; positive regulation of locomotion [GO:0040017]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; protein autophosphorylation [GO:0046777]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]
P03949	reviewed	cell differentiation [GO:0030154]; defense response to fungus [GO:0050832]; defense response to Gram-negative bacterium [GO:0050829]; DNA damage checkpoint [GO:0000077]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of engulfment of apoptotic cell [GO:1901075]; peptidyl-tyrosine autophosphorylation [GO:0038083]; regulation of cell proliferation [GO:0042127]; response to ionizing radiation [GO:0010212]; spermatogenesis [GO:0007283]
A5JYT9	unreviewed	regulation of gene expression [GO:0010468]
G5EET5	unreviewed	chromosome attachment to the nuclear envelope [GO:0097240]; germ cell development [GO:0007281]; gonad development [GO:0008406]; negative regulation of Ras protein signal transduction [GO:0046580]; negative regulation of vulval development [GO:0040027]; nematode larval development [GO:0002119]; positive regulation of growth rate [GO:0040010]; regulation of cell differentiation [GO:0045595]; reproduction [GO:0000003]
P55853	reviewed	embryo development ending in birth or egg hatching [GO:0009792]; mitotic metaphase plate congression [GO:0007080]; mitotic sister chromatid separation [GO:0051306]; multicellular organismal locomotion [GO:0071965]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nematode larval development [GO:0002119]; protein localization to chromosome [GO:0034502]; protein sumoylation [GO:0016925]; regulation of protein stability [GO:0031647]; synaptonemal complex disassembly [GO:0070194]
A5JYU6	unreviewed	
O18302	unreviewed	cytoplasmic sequestering of CFTR protein [GO:0043004]
A5JYV4	unreviewed	transcription, DNA-templated [GO:0006351]
O44750	reviewed	proteolysis [GO:0006508]
A5JYW2	unreviewed	'de novo' L-methionine biosynthetic process [GO:0071266]; cysteine biosynthetic process via cystathionine [GO:0019343]; transsulfuration [GO:0019346]
W6RTA4	reviewed	maintenance of presynaptic active zone structure [GO:0048790]; synaptic vesicle clustering [GO:0097091]; synaptic vesicle exocytosis [GO:0016079]
A5JYW9	reviewed	cell fate specification [GO:0001708]; histone deacetylation [GO:0016575]; locomotion [GO:0040011]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nematode male tail mating organ morphogenesis [GO:0090597]; vulval development [GO:0040025]
G5ECU7	reviewed	cellular response to hormone stimulus [GO:0032870]; determination of adult lifespan [GO:0008340]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell differentiation [GO:0045597]; positive regulation of gene expression [GO:0010628]; positive regulation of RNA splicing [GO:0033120]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell cycle [GO:0051726]; response to cAMP [GO:0051591]; response to cytokine [GO:0034097]; response to drug [GO:0042493]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to organic substance [GO:0010033]; response to radiation [GO:0009314]; response to starvation [GO:0042594]; response to toxic substance [GO:0009636]
H2KYD4	unreviewed	
H2KZM4	unreviewed	animal organ morphogenesis [GO:0009887]; hindgut morphogenesis [GO:0007442]; positive regulation of growth rate [GO:0040010]; vulval development [GO:0040025]
O16850	reviewed	aging [GO:0007568]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to heat [GO:0034605]; cellular response to oxidative stress [GO:0034599]; dauer larval development [GO:0040024]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; determination of adult lifespan [GO:0008340]; glucose homeostasis [GO:0042593]; heat acclimation [GO:0010286]; innate immune response [GO:0045087]; insulin receptor signaling pathway [GO:0008286]; muscle tissue development [GO:0060537]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nematode larval development [GO:0002119]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of apoptotic process [GO:0043065]; positive regulation of dauer larval development [GO:0061066]; positive regulation of defense response to bacterium [GO:1900426]; positive regulation of gene expression [GO:0010628]; positive regulation of neuromuscular synaptic transmission [GO:1900075]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of synaptic growth at neuromuscular junction [GO:0045887]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell cycle process [GO:0010564]; regulation of dauer entry [GO:1905909]; regulation of dauer larval development [GO:0061065]; regulation of DNA-templated transcription in response to stress [GO:0043620]; regulation of gene expression [GO:0010468]; regulation of lipid biosynthetic process [GO:0046890]; regulation of lipid storage [GO:0010883]; regulation of synaptic growth at neuromuscular junction [GO:0008582]; regulation of transcription, DNA-templated [GO:0006355]; response to oxidative stress [GO:0006979]; response to starvation [GO:0042594]; response to UV [GO:0009411]; short-term memory [GO:0007614]
O17670	reviewed	anatomical structure development [GO:0048856]; embryonic morphogenesis [GO:0048598]; histone dephosphorylation [GO:0016576]; locomotion [GO:0040011]; mesodermal cell fate specification [GO:0007501]; negative regulation of apoptotic process [GO:0043066]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; nematode larval development [GO:0002119]; oviposition [GO:0018991]; positive regulation of apoptotic process involved in development [GO:1904747]; positive regulation of cellular response to heat [GO:1900036]; positive regulation of DNA repair [GO:0045739]; positive regulation of response to oxidative stress [GO:1902884]; regulation of transcription, DNA-templated [GO:0006355]; tissue morphogenesis [GO:0048729]
O18214	reviewed	cell differentiation [GO:0030154]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nematode male tail tip morphogenesis [GO:0045138]; positive regulation of gene expression [GO:0010628]; sex differentiation [GO:0007548]
O62159	unreviewed	
P41828	reviewed	molting cycle, collagen and cuticulin-based cuticle [GO:0018996]; positive regulation of transcription by RNA polymerase II [GO:0045944]
Q09602	reviewed	regulation of transcription, DNA-templated [GO:0006355]
Q18056	unreviewed	cell differentiation [GO:0030154]; Notch signaling pathway [GO:0007219]; regulation of neurogenesis [GO:0050767]; somitogenesis [GO:0001756]
Q18225	unreviewed	negative regulation of transcription, DNA-templated [GO:0045892]; nematode larval development [GO:0002119]
Q18711	unreviewed	positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription by RNA polymerase II [GO:0006366]
Q19418	unreviewed	
Q19496	unreviewed	transcription, DNA-templated [GO:0006351]
Q9NAE4	unreviewed	
Q9TXN8	unreviewed	
Q9TZ37	unreviewed	
A5JYZ2	unreviewed	
P46769	reviewed	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]; ribosomal small subunit assembly [GO:0000028]; rRNA export from nucleus [GO:0006407]; translation [GO:0006412]
A5PEW5	unreviewed	exocytosis [GO:0006887]; synaptic transmission, cholinergic [GO:0007271]; synaptic vesicle fusion to presynaptic active zone membrane [GO:0031629]; synaptic vesicle priming [GO:0016082]; vesicle fusion [GO:0006906]
Q9TZM9	unreviewed	histone modification [GO:0016570]; transcription elongation from RNA polymerase II promoter [GO:0006368]
A5PEX5	unreviewed	epidermal growth factor receptor signaling pathway [GO:0007173]; exocytosis [GO:0006887]; neurotransmitter secretion [GO:0007269]; oviposition [GO:0018991]; positive regulation of vulval development [GO:0040026]; post-embryonic development [GO:0009791]; protein localization to basolateral plasma membrane [GO:1903361]; protein transport [GO:0015031]
P54936	reviewed	gamma-aminobutyric acid receptor clustering [GO:0097112]; oviposition [GO:0018991]; positive regulation of vulval development [GO:0040026]; post-embryonic development [GO:0009791]; protein localization to basolateral plasma membrane [GO:1903361]
Q9U9K0	reviewed	actin filament bundle assembly [GO:0051017]; barbed-end actin filament capping [GO:0051016]; long-term memory [GO:0007616]; memory [GO:0007613]; receptor localization to synapse [GO:0097120]; regulation of actin cytoskeleton reorganization [GO:2000249]; short-term memory [GO:0007614]
A6ZJ46	unreviewed	
G5EC62	unreviewed	
G5EFL5	unreviewed	determination of adult lifespan [GO:0008340]; pharyngeal pumping [GO:0043050]
H2KYV3	unreviewed	cilium assembly [GO:0060271]; mitotic cytokinesis [GO:0000281]; septin ring assembly [GO:0000921]
H2KZI6	unreviewed	negative regulation of transcription, DNA-templated [GO:0045892]
K8FDY0	unreviewed	
O17173	unreviewed	
O17605	unreviewed	
O44577	unreviewed	transcription, DNA-templated [GO:0006351]
O44606	unreviewed	
O62203	unreviewed	regulation of mRNA processing [GO:0050684]; regulation of transcription by RNA polymerase II [GO:0006357]
O62235	unreviewed	
P34402	reviewed	centriole replication [GO:0007099]; maintenance of protein location [GO:0045185]; multicellular organism development [GO:0007275]
P91561	unreviewed	protein homooligomerization [GO:0051260]
Q09607	reviewed	oxidation-reduction process [GO:0055114]
Q17796	unreviewed	intracellular protein transport [GO:0006886]; protein localization to non-motile cilium [GO:0097499]
Q17865	reviewed	centrosome cycle [GO:0007098]; establishment or maintenance of cell polarity [GO:0007163]; regulation of cellular localization [GO:0060341]
Q18412	reviewed	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome segregation [GO:0007059]
Q20435	unreviewed	endoplasmic reticulum unfolded protein response [GO:0030968]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; response to topologically incorrect protein [GO:0035966]; response to tunicamycin [GO:1904576]
Q22166	unreviewed	
Q22696	unreviewed	
Q8MLZ5	reviewed	associative learning [GO:0008306]; long-term memory [GO:0007616]; negative regulation of Ras protein signal transduction [GO:0046580]; short-term memory [GO:0007614]; signal transduction [GO:0007165]
Q8MYM0	unreviewed	
Q9XUE3	unreviewed	
Q9XVN3	reviewed	apoptotic process [GO:0006915]; negative regulation of apoptotic process [GO:0043066]
A6ZJ71	reviewed	amine metabolic process [GO:0009308]; multicellular organism development [GO:0007275]
O01879	unreviewed	carbohydrate transport [GO:0008643]
A7DTF0	unreviewed	chromatin silencing [GO:0006342]; embryo development ending in birth or egg hatching [GO:0009792]; germ cell development [GO:0007281]; histone acetylation [GO:0016573]; histone deacetylation [GO:0016575]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription, DNA-templated [GO:0006351]
G5EC16	unreviewed	determination of adult lifespan [GO:0008340]; embryo development ending in birth or egg hatching [GO:0009792]; germ cell development [GO:0007281]; locomotion [GO:0040011]; mRNA processing [GO:0006397]; nematode larval development [GO:0002119]; pharyngeal pumping [GO:0043050]; vulval development [GO:0040025]
G5EGP2	unreviewed	transcription, DNA-templated [GO:0006351]
J3K004	unreviewed	
O02365	reviewed	cell-cell adhesion [GO:0098609]
P34537	reviewed	glycolipid metabolic process [GO:0006664]; histone monoubiquitination [GO:0010390]
P48152	reviewed	DNA repair [GO:0006281]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of DNA repair [GO:0045739]; translation [GO:0006412]
Q20298	unreviewed	
Q21295	unreviewed	embryo development ending in birth or egg hatching [GO:0009792]; establishment of mitotic spindle orientation [GO:0000132]; NLS-bearing protein import into nucleus [GO:0006607]; nuclear pore organization [GO:0006999]; oogenesis [GO:0048477]; positive regulation of mitotic cell cycle, embryonic [GO:0045977]; protein localization to nuclear inner membrane [GO:0036228]; regulation of asymmetric cell division [GO:0009786]; regulation of cell fate specification [GO:0042659]; reproduction [GO:0000003]
Q22835	reviewed	innate immune response [GO:0045087]
Q23403	unreviewed	histone acetylation [GO:0016573]; regulation of transcription by RNA polymerase II [GO:0006357]
Q8IG69	unreviewed	defense response to Gram-negative bacterium [GO:0050829]; regulation of lipid metabolic process [GO:0019216]; regulation of transcription by RNA polymerase II [GO:0006357]
Q9XUS9	unreviewed	intracellular signal transduction [GO:0035556]; mitotic cleavage furrow ingression [GO:1990386]; mitotic cytokinesis [GO:0000281]; mitotic spindle midzone assembly [GO:0051256]; polar body extrusion after meiotic divisions [GO:0040038]; positive regulation of GTPase activity [GO:0043547]
A7DTF5	unreviewed	
E2JL04	unreviewed	isoleucyl-tRNA aminoacylation [GO:0006428]; mitochondrial translation [GO:0032543]
Q19286	reviewed	
Q19289	reviewed	
A7LPD5	unreviewed	
Q9U2T9	unreviewed	positive regulation of synaptic vesicle endocytosis [GO:1900244]
A7UQ09	unreviewed	
Q0PJA9	unreviewed	
Q5WRR6	unreviewed	
Q86NH1	reviewed	activation of GTPase activity [GO:0090630]; axo-dendritic transport [GO:0008088]; cell differentiation [GO:0030154]; cell projection organization [GO:0030030]; cellular protein localization [GO:0034613]; locomotion [GO:0040011]; nervous system development [GO:0007399]; signal transduction [GO:0007165]
A8DYS0	unreviewed	determination of adult lifespan [GO:0008340]
D4YW53	unreviewed	regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of translation [GO:0006417]
O45189	unreviewed	alternative mRNA splicing, via spliceosome [GO:0000380]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of locomotion [GO:0040012]
Q20084	unreviewed	epithelial cell development [GO:0002064]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of neuron differentiation [GO:0045664]; regulation of tube size [GO:0035150]
Q21952	reviewed	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; kinetochore organization [GO:0051383]; meiotic chromosome segregation [GO:0045132]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle organization [GO:0007052]; reproduction [GO:0000003]
A8WFH5	unreviewed	carbohydrate metabolic process [GO:0005975]
Q9NAN2	reviewed	cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; cell division [GO:0051301]; centrosome cycle [GO:0007098]; establishment of mitotic spindle localization [GO:0040001]; establishment or maintenance of cell polarity [GO:0007163]; gastrulation [GO:0007369]; gonadal mesoderm development [GO:0007506]; gonad development [GO:0008406]; polarity specification of anterior/posterior axis [GO:0009949]; regulation of cellular localization [GO:0060341]; single fertilization [GO:0007338]
A8WFJ9	reviewed	cell differentiation [GO:0030154]; regulation of transcription by RNA polymerase II [GO:0006357]
Q22227	reviewed	canonical Wnt signaling pathway [GO:0060070]; cell fate determination [GO:0001709]; cell fate specification involved in pattern specification [GO:0060573]; cell migration [GO:0016477]; embryonic digestive tract morphogenesis [GO:0048557]; embryonic morphogenesis [GO:0048598]; endodermal cell fate specification [GO:0001714]; epidermis morphogenesis [GO:0048730]; establishment of mitotic spindle orientation [GO:0000132]; inductive cell migration [GO:0040039]; intracellular signal transduction [GO:0035556]; left/right axis specification [GO:0070986]; neuron migration [GO:0001764]; regulation of establishment or maintenance of cell polarity [GO:0032878]; signal transduction involved in regulation of gene expression [GO:0023019]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]; Wnt signaling pathway, regulating spindle positioning [GO:0060069]
A8WHP8	reviewed	embryo development ending in birth or egg hatching [GO:0009792]
Q22387	unreviewed	
A8XMZ5	unreviewed	
A8XQE0	unreviewed	chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; negative regulation of cell fate specification [GO:0009996]; negative regulation of transcription, DNA-templated [GO:0045892]
Q21501	unreviewed	regulation of transcription, DNA-templated [GO:0006355]; RNA interference [GO:0016246]
A9D2X7	unreviewed	biosynthetic process [GO:0009058]
Q17549	unreviewed	
Q9N5G8	unreviewed	
Q9NGT3	unreviewed	embryo development ending in birth or egg hatching [GO:0009792]; mitotic spindle assembly checkpoint [GO:0007094]; regulation of cell cycle [GO:0051726]; response to anoxia [GO:0034059]
A9D4E4	unreviewed	
B1V8A0	reviewed	clathrin-dependent endocytosis [GO:0072583]; positive regulation of necrotic cell death [GO:0010940]; programmed cell death [GO:0012501]
Q95PW9	unreviewed	
A9D7R4	unreviewed	
G5ECL3	unreviewed	RNA processing [GO:0006396]
A9UJN4	unreviewed	P granule assembly [GO:1903863]; regulation of protein autophosphorylation [GO:0031952]; signal transduction [GO:0007165]
Q09543	reviewed	embryo development ending in birth or egg hatching [GO:0009792]; protein dephosphorylation [GO:0006470]
Q9TXM1	unreviewed	embryo development ending in birth or egg hatching [GO:0009792]; germ cell proliferation [GO:0036093]; organelle localization [GO:0051640]; P granule assembly [GO:1903863]
Q9TZK8	unreviewed	germ cell proliferation [GO:0036093]; organelle localization [GO:0051640]; P granule assembly [GO:1903863]
A9Z1L6	unreviewed	
H2KZG6	unreviewed	defense response to Gram-negative bacterium [GO:0050829]; innate immune response [GO:0045087]
O16369	unreviewed	apical protein localization [GO:0045176]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
O45799	unreviewed	phosphatidylserine exposure on apoptotic cell surface [GO:0070782]; phospholipid scrambling [GO:0017121]
O76840	reviewed	cell morphogenesis [GO:0000902]; embryo development ending in birth or egg hatching [GO:0009792]; embryonic morphogenesis [GO:0048598]; multicellular organism reproduction [GO:0032504]; nematode larval development [GO:0002119]
Q09983	unreviewed	
Q22631	unreviewed	
B0M0L8	unreviewed	
Q09581	reviewed	
B1GRJ8	unreviewed	
O16364	unreviewed	
B1Q236	reviewed	actin filament bundle assembly [GO:0051017]; branching morphogenesis of a nerve [GO:0048755]; cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; collateral sprouting [GO:0048668]; synapse assembly [GO:0007416]; synapse organization [GO:0050808]; synaptic target recognition [GO:0008039]
Q20308	unreviewed	
B1Q240	unreviewed	intracellular signal transduction [GO:0035556]; Wnt signaling pathway, regulating spindle positioning [GO:0060069]
F3Y5P4	reviewed	amphid sensory organ dendrite retrograde extension [GO:0003391]; ciliary transition zone assembly [GO:1905349]; cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; positive regulation of cilium assembly [GO:0045724]; positive regulation of dendrite extension [GO:1903861]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of protein localization to cilium [GO:1903566]; protein localization to ciliary transition zone [GO:1904491]
G5ED84	reviewed	protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
G5EE01	reviewed	chemosensory behavior [GO:0007635]; chemotaxis [GO:0006935]; dauer larval development [GO:0040024]; determination of adult lifespan [GO:0008340]; learning or memory [GO:0007611]; phosphatidylinositol dephosphorylation [GO:0046856]; positive regulation of dauer larval development [GO:0061066]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of protein import into nucleus [GO:0042307]; protein dephosphorylation [GO:0006470]; regulation of chemotaxis [GO:0050920]; response to heat [GO:0009408]; response to salt [GO:1902074]
G5EE65	unreviewed	
G5EEN7	unreviewed	
G5EGK8	reviewed	centrosome separation [GO:0051299]; meiotic spindle disassembly [GO:0051229]; mitotic centrosome separation [GO:0007100]; mitotic nuclear envelope reassembly [GO:0007084]; mitotic spindle organization [GO:0007052]; pronuclear envelope synthesis [GO:0018985]
G5EGM4	unreviewed	
H2L0E0	unreviewed	
O18188	unreviewed	negative regulation of apoptotic process [GO:0043066]; negative regulation of gluconeogenesis [GO:0045721]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
O45391	unreviewed	'de novo' L-methionine biosynthetic process [GO:0071266]; cysteine biosynthetic process via cystathionine [GO:0019343]; transsulfuration [GO:0019346]
O61521	unreviewed	
O76387	reviewed	
P12844	reviewed	locomotory behavior [GO:0007626]; positive regulation of ovulation [GO:0060279]
P34604	reviewed	
C0HKD6	reviewed	mitochondrial tryptophanyl-tRNA aminoacylation [GO:0070183]; tryptophanyl-tRNA aminoacylation [GO:0006436]
