Entry	Status	Gene ontology (molecular function)
A0A0M7RF51	unreviewed	
Q23158	unreviewed	actin binding [GO:0003779]; calcium ion binding [GO:0005509]
A0A0S4XR43	unreviewed	
G5EGG0	unreviewed	protein transporter activity [GO:0008565]
H2L0F6	unreviewed	
O01482	unreviewed	metal ion binding [GO:0046872]
O02108	reviewed	chaperone binding [GO:0051087]; heat shock protein binding [GO:0031072]; protein kinase binding [GO:0019901]; unfolded protein binding [GO:0051082]
Q18012	unreviewed	
Q18967	reviewed	translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]
Q19872	unreviewed	
Q20678	reviewed	GTP-Rho binding [GO:0017049]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]
Q22886	unreviewed	
Q9U304	unreviewed	nucleic acid binding [GO:0003676]
A0A131MCL4	unreviewed	nucleic acid binding [GO:0003676]
O45521	reviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
Q2XMY3	unreviewed	
A0FLQ8	unreviewed	DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
G5ECU1	reviewed	
O01488	unreviewed	
A0PD34	unreviewed	
G5ED33	unreviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]; cytoskeletal protein binding [GO:0008092]
A0SQM0	reviewed	
Q22289	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]
A1EHR5	unreviewed	potassium ion leak channel activity [GO:0022841]
O17917	reviewed	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]
A3QM99	unreviewed	
A3QMB3	unreviewed	
A4UVJ7	unreviewed	3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]
Q9U9Y8	reviewed	ATP binding [GO:0005524]; beta-catenin binding [GO:0008013]; MAP kinase activity [GO:0004707]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein N-terminus binding [GO:0047485]; protein serine/threonine kinase activity [GO:0004674]
A5JYT7	unreviewed	serine-type endopeptidase inhibitor activity [GO:0004867]
G5EE56	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; netrin receptor binding [GO:1990890]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]
P03949	reviewed	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]
A5JYT9	unreviewed	nucleic acid binding [GO:0003676]
G5EET5	unreviewed	enzyme binding [GO:0019899]; methylated histone binding [GO:0035064]
P55853	reviewed	identical protein binding [GO:0042802]; protein tag [GO:0031386]
A5JYU6	unreviewed	
O18302	unreviewed	identical protein binding [GO:0042802]
A5JYV4	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
O44750	reviewed	metalloaminopeptidase activity [GO:0070006]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]
A5JYW2	unreviewed	lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]
W6RTA4	reviewed	
A5JYW9	reviewed	transcription corepressor activity [GO:0003714]
G5ECU7	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]
H2KYD4	unreviewed	nucleic acid binding [GO:0003676]
H2KZM4	unreviewed	RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]
O16850	reviewed	14-3-3 protein binding [GO:0071889]; activating transcription factor binding [GO:0033613]; beta-catenin binding [GO:0008013]; DEAD/H-box RNA helicase binding [GO:0017151]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enzyme binding [GO:0019899]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-specific protease binding [GO:1990381]
O17670	reviewed	metal ion binding [GO:0046872]; protein tyrosine phosphatase activity [GO:0004725]; transcription coactivator activity [GO:0003713]
O18214	reviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region DNA binding [GO:0001012]
O62159	unreviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]
P41828	reviewed	DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
Q09602	reviewed	sequence-specific DNA binding [GO:0043565]
Q18056	unreviewed	protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
Q18225	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
Q18711	unreviewed	DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II regulatory region DNA binding [GO:0001012]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding [GO:0000983]
Q19418	unreviewed	nucleic acid binding [GO:0003676]
Q19496	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
Q9NAE4	unreviewed	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
Q9TXN8	unreviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]
Q9TZ37	unreviewed	
A5JYZ2	unreviewed	
P46769	reviewed	structural constituent of ribosome [GO:0003735]
A5PEW5	unreviewed	SNAP receptor activity [GO:0005484]; syntaxin binding [GO:0019905]
Q9TZM9	unreviewed	chromatin binding [GO:0003682]; RNA polymerase II complex binding [GO:0000993]
A5PEX5	unreviewed	L27 domain binding [GO:0097016]; protein binding, bridging [GO:0030674]; protein C-terminus binding [GO:0008022]; signaling receptor binding [GO:0005102]
P54936	reviewed	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; insulin-like growth factor receptor binding [GO:0005159]; protein tyrosine kinase activity [GO:0004713]
Q9U9K0	reviewed	actin filament binding [GO:0051015]; spectrin binding [GO:0030507]; structural molecule activity [GO:0005198]
A6ZJ46	unreviewed	
G5EC62	unreviewed	
G5EFL5	unreviewed	metal ion binding [GO:0046872]
H2KYV3	unreviewed	GTPase activity [GO:0003924]; protein-containing complex scaffold activity [GO:0032947]
H2KZI6	unreviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding [GO:0001162]
K8FDY0	unreviewed	
O17173	unreviewed	
O17605	unreviewed	
O44577	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
O44606	unreviewed	
O62203	unreviewed	RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]
O62235	unreviewed	nucleic acid binding [GO:0003676]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
P34402	reviewed	
P91561	unreviewed	
Q09607	reviewed	glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]
Q17796	unreviewed	metal ion binding [GO:0046872]; phosphatidylinositol-3-phosphate binding [GO:0032266]; ubiquitin binding [GO:0043130]
Q17865	reviewed	protein kinase C binding [GO:0005080]; Rho GTPase binding [GO:0017048]
Q18412	reviewed	
Q20435	unreviewed	DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
Q22166	unreviewed	
Q22696	unreviewed	nucleic acid binding [GO:0003676]
Q8MLZ5	reviewed	GTPase activator activity [GO:0005096]
Q8MYM0	unreviewed	nucleic acid binding [GO:0003676]
Q9XUE3	unreviewed	
Q9XVN3	reviewed	p53 binding [GO:0002039]
A6ZJ71	reviewed	copper ion binding [GO:0005507]; primary amine oxidase activity [GO:0008131]; quinone binding [GO:0048038]
O01879	unreviewed	UDP-galactose transmembrane transporter activity [GO:0005459]
A7DTF0	unreviewed	
G5EC16	unreviewed	protein self-association [GO:0043621]; RNA binding [GO:0003723]
G5EGP2	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
J3K004	unreviewed	
O02365	reviewed	structural molecule activity [GO:0005198]
P34537	reviewed	metal ion binding [GO:0046872]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin-protein transferase activity [GO:0004842]
P48152	reviewed	damaged DNA binding [GO:0003684]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; oxidized purine DNA binding [GO:0032357]; oxidized purine nucleobase lesion DNA N-glycosylase activity [GO:0008534]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q20298	unreviewed	
Q21295	unreviewed	calmodulin binding [GO:0005516]; structural constituent of nuclear pore [GO:0017056]
Q22835	reviewed	DNA binding [GO:0003677]
Q23403	unreviewed	
Q8IG69	unreviewed	DNA-binding transcription factor activity [GO:0003700]
Q9XUS9	unreviewed	GTPase activator activity [GO:0005096]
A7DTF5	unreviewed	
E2JL04	unreviewed	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]
Q19286	reviewed	structural molecule activity [GO:0005198]
Q19289	reviewed	structural molecule activity [GO:0005198]
A7LPD5	unreviewed	
Q9U2T9	unreviewed	calcium ion binding [GO:0005509]
A7UQ09	unreviewed	
Q0PJA9	unreviewed	
Q5WRR6	unreviewed	cell adhesion molecule binding [GO:0050839]; structural molecule activity [GO:0005198]
Q86NH1	reviewed	GTPase activator activity [GO:0005096]; Rho GTPase binding [GO:0017048]; Roundabout binding [GO:0048495]; signaling receptor binding [GO:0005102]
A8DYS0	unreviewed	RNA binding [GO:0003723]
D4YW53	unreviewed	pre-mRNA intronic binding [GO:0097157]; single-stranded RNA binding [GO:0003727]
O45189	unreviewed	mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]
Q20084	unreviewed	mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]
Q21952	reviewed	protein-containing complex binding [GO:0044877]; structural molecule activity [GO:0005198]
A8WFH5	unreviewed	catalytic activity [GO:0003824]
Q9NAN2	reviewed	protein kinase C binding [GO:0005080]; Rho GTPase binding [GO:0017048]
A8WFJ9	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]
Q22227	reviewed	frizzled binding [GO:0005109]; signaling adaptor activity [GO:0035591]
A8WHP8	reviewed	
Q22387	unreviewed	
A8XMZ5	unreviewed	calcium ion binding [GO:0005509]
A8XQE0	unreviewed	transcription corepressor activity [GO:0003714]
Q21501	unreviewed	chromatin binding [GO:0003682]
A9D2X7	unreviewed	nucleotidyltransferase activity [GO:0016779]
Q17549	unreviewed	
Q9N5G8	unreviewed	
Q9NGT3	unreviewed	
A9D4E4	unreviewed	nucleic acid binding [GO:0003676]
B1V8A0	reviewed	
Q95PW9	unreviewed	kinase activity [GO:0016301]; SH3/SH2 adaptor activity [GO:0005070]
A9D7R4	unreviewed	
G5ECL3	unreviewed	RNA binding [GO:0003723]
A9UJN4	unreviewed	protein phosphatase activator activity [GO:0072542]
Q09543	reviewed	DEAD/H-box RNA helicase binding [GO:0017151]; protein phosphatase regulator activity [GO:0019888]
Q9TXM1	unreviewed	
Q9TZK8	unreviewed	
A9Z1L6	unreviewed	RNA binding [GO:0003723]
H2KZG6	unreviewed	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]
O16369	unreviewed	clathrin binding [GO:0030276]
O45799	unreviewed	phospholipid scramblase activity [GO:0017128]
O76840	reviewed	peptidase activity [GO:0008233]; serine-type endopeptidase inhibitor activity [GO:0004867]
Q09983	unreviewed	serine-type endopeptidase inhibitor activity [GO:0004867]
Q22631	unreviewed	
B0M0L8	unreviewed	
Q09581	reviewed	carbohydrate binding [GO:0030246]
B1GRJ8	unreviewed	
O16364	unreviewed	
B1Q236	reviewed	cell adhesion molecule binding [GO:0050839]; protein-containing complex binding [GO:0044877]
Q20308	unreviewed	methyltransferase activity [GO:0008168]
B1Q240	unreviewed	receptor tyrosine kinase binding [GO:0030971]
F3Y5P4	reviewed	dynein light intermediate chain binding [GO:0051959]; microtubule binding [GO:0008017]
G5ED84	reviewed	
G5EE01	reviewed	lipid binding [GO:0008289]; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity [GO:0016314]; protein tyrosine phosphatase activity [GO:0004725]
G5EE65	unreviewed	
G5EEN7	unreviewed	
G5EGK8	reviewed	DEAD/H-box RNA helicase binding [GO:0017151]; metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]
G5EGM4	unreviewed	
H2L0E0	unreviewed	
O18188	unreviewed	
O45391	unreviewed	cystathionine gamma-lyase activity [GO:0004123]; cystathionine gamma-synthase activity [GO:0003962]; pyridoxal phosphate binding [GO:0030170]
O61521	unreviewed	
O76387	reviewed	aminoacyl-tRNA hydrolase activity [GO:0004045]
P12844	reviewed	actin filament binding [GO:0051015]; ATP binding [GO:0005524]; motor activity [GO:0003774]
P34604	reviewed	identical protein binding [GO:0042802]; translation initiation factor activity [GO:0003743]
C0HKD6	reviewed	ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]
C0HKD7	reviewed	tryptophan-tRNA ligase activity [GO:0004830]; zinc ion binding [GO:0008270]
P91001	reviewed	DEAD/H-box RNA helicase binding [GO:0017151]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; NEDD8-specific protease activity [GO:0019784]; protein C-terminus binding [GO:0008022]
P91988	unreviewed	catalytic activity [GO:0003824]
P92004	unreviewed	
Q09477	reviewed	histone acetyltransferase activity [GO:0004402]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]
Q11178	reviewed	DNA binding [GO:0003677]
Q17391	reviewed	POZ domain binding [GO:0031208]; ubiquitin protein ligase binding [GO:0031625]
Q17415	unreviewed	
Q17451	unreviewed	
Q18171	unreviewed	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; transcription coactivator activity [GO:0003713]
Q18624	unreviewed	DNA binding [GO:0003677]; transcription coactivator activity [GO:0003713]
Q18938	reviewed	glutathione transferase activity [GO:0004364]; identical protein binding [GO:0042802]; maleylacetoacetate isomerase activity [GO:0016034]
Q19257	unreviewed	pyridoxal phosphate binding [GO:0030170]
Q19341	reviewed	3-hydroxyanthranilate 3,4-dioxygenase activity [GO:0000334]; ferrous iron binding [GO:0008198]
Q20628	unreviewed	cytidine deaminase activity [GO:0004126]; deoxycytidine deaminase activity [GO:0047844]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
Q20677	unreviewed	
Q20712	unreviewed	
Q21740	unreviewed	mRNA binding [GO:0003729]
Q21882	reviewed	hydroxyisourate hydrolase activity [GO:0033971]; identical protein binding [GO:0042802]
Q22174	unreviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; translation elongation factor activity [GO:0003746]
Q22544	reviewed	DNA-binding transcription factor activity [GO:0003700]
Q23458	unreviewed	nucleic acid binding [GO:0003676]
Q3LRZ3	reviewed	protein kinase binding [GO:0019901]
Q56VX2	unreviewed	DNA binding [GO:0003677]
Q7YSI9	reviewed	actin filament binding [GO:0051015]; calmodulin binding [GO:0005516]
Q93716	unreviewed	AU-rich element binding [GO:0017091]; hydrolase activity [GO:0016787]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]
Q94420	reviewed	identical protein binding [GO:0042802]; protein binding, bridging [GO:0030674]; protein kinase binding [GO:0019901]; ubiquitin protein ligase binding [GO:0031625]
Q9GYG1	unreviewed	nucleic acid binding [GO:0003676]
Q9N350	unreviewed	
Q9N3Z0	unreviewed	K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; protein kinase C binding [GO:0005080]; zinc ion binding [GO:0008270]
Q9N4X8	reviewed	glutathione transferase activity [GO:0004364]
Q9N5S5	unreviewed	
Q9NAM2	unreviewed	
Q9NF11	unreviewed	guanine phosphoribosyltransferase activity [GO:0052657]; hypoxanthine phosphoribosyltransferase activity [GO:0004422]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nucleotide binding [GO:0000166]
Q9TZ84	unreviewed	identical protein binding [GO:0042802]
Q9UAT1	unreviewed	alcohol dehydrogenase (NAD) activity [GO:0004022]; zinc ion binding [GO:0008270]
Q9XUS5	unreviewed	UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]
Q9XV35	unreviewed	DNA binding [GO:0003677]
B1Q249	unreviewed	metal ion binding [GO:0046872]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]
B1V897	unreviewed	
O02482	reviewed	repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
B9WRT9	unreviewed	serine-type endopeptidase inhibitor activity [GO:0004867]
C5NU64	unreviewed	GTPase activator activity [GO:0005096]; Rac GTPase binding [GO:0048365]
G5EBN5	unreviewed	
G5ECL2	reviewed	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity [GO:0043813]; phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity [GO:0004439]
G5ED57	unreviewed	serine-type endopeptidase inhibitor activity [GO:0004867]
G5EEN3	unreviewed	enzyme binding [GO:0019899]; GTPase regulator activity [GO:0030695]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein-containing complex binding [GO:0044877]; SH3 domain binding [GO:0017124]
A0A1C3NSL9	reviewed	cytoskeletal protein binding [GO:0008092]; metal ion binding [GO:0046872]
H2KZV4	unreviewed	GTPase activator activity [GO:0005096]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]
O01900	unreviewed	
O17214	reviewed	fumarate hydratase activity [GO:0004333]
O44743	unreviewed	cAMP response element binding [GO:0035497]; DNA-binding transcription factor activity [GO:0003700]
O61708	unreviewed	
P10986	reviewed	ATP binding [GO:0005524]; structural constituent of cytoskeleton [GO:0005200]
P19826	reviewed	actin filament binding [GO:0051015]; structural constituent of cytoskeleton [GO:0005200]
P34420	reviewed	
P34552	reviewed	Notch binding [GO:0005112]; protein C-terminus binding [GO:0008022]
P39055	reviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; microtubule binding [GO:0008017]
Q09345	reviewed	mRNA binding [GO:0003729]; RNA polymerase II complex binding [GO:0000993]
Q09442	reviewed	RNA binding [GO:0003723]
Q09994	reviewed	GTP-Rho binding [GO:0017049]
Q17350	unreviewed	RNA binding [GO:0003723]
Q18529	unreviewed	chitin binding [GO:0008061]
Q18605	unreviewed	metal ion binding [GO:0046872]
Q19994	unreviewed	
Q20330	unreviewed	
Q21648	unreviewed	
Q7JP60	unreviewed	cullin family protein binding [GO:0097602]
Q86D09	unreviewed	extracellular matrix structural constituent [GO:0005201]
Q8MQE6	unreviewed	actin filament binding [GO:0051015]; cytoskeletal regulatory protein binding [GO:0005519]; GTPase binding [GO:0051020]; protein-containing complex scaffold activity [GO:0032947]; Rac GTPase binding [GO:0048365]
Q94246	unreviewed	
Q95XW7	unreviewed	
Q95YA5	unreviewed	dynein heavy chain binding [GO:0045504]
Q95YA9	unreviewed	actin binding [GO:0003779]; adenylate cyclase binding [GO:0008179]
Q9N366	unreviewed	hydrolase activity [GO:0016787]
Q9U370	unreviewed	
Q9UA61	unreviewed	carbohydrate binding [GO:0030246]
Q9XZI6	reviewed	1-phosphatidylinositol binding [GO:0005545]; clathrin binding [GO:0030276]
W6SBC7	unreviewed	RNA binding [GO:0003723]; ubiquitin-protein transferase activity [GO:0004842]
W6SBJ9	unreviewed	guanyl-nucleotide exchange factor activity [GO:0005085]
B1V8K4	unreviewed	nucleic acid binding [GO:0003676]
Q9XUS3	unreviewed	ligase activity [GO:0016874]; metal ion binding [GO:0046872]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
B3GWA1	unreviewed	RNA binding [GO:0003723]; transcription regulatory region sequence-specific DNA binding [GO:0000976]
G5EFS1	unreviewed	
O45577	unreviewed	mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q19951	reviewed	
Q6AHQ8	unreviewed	cytoskeletal protein binding [GO:0008092]; phospholipid binding [GO:0005543]
Q965J0	unreviewed	Rho guanyl-nucleotide exchange factor activity [GO:0005089]
Q9XWH5	unreviewed	
B3WFT8	unreviewed	
P36573	reviewed	carbohydrate binding [GO:0030246]; galactoside binding [GO:0016936]
Q17539	unreviewed	
Q9N359	reviewed	
B3WFU1	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
P30625	reviewed	3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; cAMP binding [GO:0030552]; cAMP-dependent protein kinase regulator activity [GO:0008603]
P41999	reviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
B4E3X6	unreviewed	spermidine synthase activity [GO:0004766]
G5ECG5	unreviewed	actin filament binding [GO:0051015]; microtubule binding [GO:0008017]; structural molecule activity [GO:0005198]
B5U8M3	unreviewed	nucleic acid binding [GO:0003676]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]
G2HK15	unreviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
G5EBR0	unreviewed	
G5ECP6	unreviewed	nucleic acid binding [GO:0003676]
G5EEM0	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
G5EGD2	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II transcription factor binding [GO:0001085]
H2KZA1	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
H2L008	unreviewed	nucleic acid binding [GO:0003676]
O01527	unreviewed	nucleic acid binding [GO:0003676]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II transcription factor binding [GO:0001085]
O02289	unreviewed	metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]
O02336	unreviewed	
O45494	unreviewed	nucleic acid binding [GO:0003676]
O62259	unreviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nucleic acid binding [GO:0003676]
P09088	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor binding [GO:0008134]
P20154	reviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]
P41830	reviewed	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor transcription coactivator activity [GO:0030374]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; signaling receptor activity [GO:0038023]; steroid hormone receptor activity [GO:0003707]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]
Q18273	reviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
Q19203	reviewed	cytoskeletal protein binding [GO:0008092]; DNA binding [GO:0003677]; myosin binding [GO:0017022]; zinc ion binding [GO:0008270]
Q20237	unreviewed	chromatin binding [GO:0003682]; core promoter binding [GO:0001047]; protein heterodimerization activity [GO:0046982]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
Q21777	unreviewed	nucleic acid binding [GO:0003676]
